repeat,seed,fold,encoder,image_width,image_height,unfreeze_feature_blocks,selected_epoch,stopped_epoch,epochs_run,validation_macro_f1,validation_balanced_accuracy,validation_log_loss,train_loss_at_selected_epoch,learning_rate,weight_decay,batch_size,trainable_parameters,total_parameters
1,20260606,0,efficientnet_b0,384,192,2,8,8,8,0.48892092,0.53036792,0.96406767,0.78526563,0.00010000,0.00010000,16,1133235,4011391
1,20260606,1,efficientnet_b0,384,192,2,7,8,8,0.49766900,0.56099170,0.97841911,0.76843018,0.00010000,0.00010000,16,1133235,4011391
1,20260606,2,efficientnet_b0,384,192,2,2,5,5,0.43580529,0.45629085,1.02415434,1.02007528,0.00010000,0.00010000,16,1133235,4011391
1,20260606,3,efficientnet_b0,384,192,2,8,8,8,0.51504103,0.56681839,0.97658520,0.73438250,0.00010000,0.00010000,16,1133235,4011391
1,20260606,4,efficientnet_b0,384,192,2,5,8,8,0.52478207,0.55802898,0.93720612,0.88174918,0.00010000,0.00010000,16,1133235,4011391
2,20260607,0,efficientnet_b0,384,192,2,8,8,8,0.53108210,0.59841629,0.93052425,0.75521995,0.00010000,0.00010000,16,1133235,4011391
2,20260607,1,efficientnet_b0,384,192,2,8,8,8,0.49736337,0.54691877,1.03047884,0.71557992,0.00010000,0.00010000,16,1133235,4011391
2,20260607,2,efficientnet_b0,384,192,2,4,7,7,0.50342523,0.54009104,0.96312729,0.91841830,0.00010000,0.00010000,16,1133235,4011391
2,20260607,3,efficientnet_b0,384,192,2,8,8,8,0.46253357,0.50945378,0.99701895,0.75292360,0.00010000,0.00010000,16,1133235,4011391
2,20260607,4,efficientnet_b0,384,192,2,5,8,8,0.51038184,0.55634562,0.95380663,0.86737802,0.00010000,0.00010000,16,1133235,4011391
3,20260608,0,efficientnet_b0,384,192,2,8,8,8,0.44824572,0.51070621,1.06366400,0.73216392,0.00010000,0.00010000,16,1133235,4011391
3,20260608,1,efficientnet_b0,384,192,2,8,8,8,0.52024669,0.59681373,0.93608951,0.75169024,0.00010000,0.00010000,16,1133235,4011391
3,20260608,2,efficientnet_b0,384,192,2,8,8,8,0.51520198,0.55672269,0.96121037,0.73577610,0.00010000,0.00010000,16,1133235,4011391
3,20260608,3,efficientnet_b0,384,192,2,7,8,8,0.49082569,0.56559290,0.99073632,0.77900619,0.00010000,0.00010000,16,1133235,4011391
3,20260608,4,efficientnet_b0,384,192,2,8,8,8,0.52263975,0.57599386,0.93658483,0.75174877,0.00010000,0.00010000,16,1133235,4011391
