repeat,seed,fold,encoder,image_width,image_height,selected_c,validation_macro_f1,validation_balanced_accuracy,validation_log_loss
1,20260606,0,efficientnet_b0,384,192,0.10000000,0.49406174,0.48536145,1.43548739
1,20260606,1,efficientnet_b0,384,192,10.00000000,0.51702068,0.51783021,2.52490425
1,20260606,2,efficientnet_b0,384,192,0.01000000,0.55889155,0.57907330,1.04649842
1,20260606,3,efficientnet_b0,384,192,0.10000000,0.50469338,0.51254669,1.46786571
1,20260606,4,efficientnet_b0,384,192,0.01000000,0.51283120,0.51183743,0.96478301
2,20260607,0,efficientnet_b0,384,192,0.01000000,0.48129605,0.48107897,1.08682454
2,20260607,1,efficientnet_b0,384,192,0.01000000,0.44709415,0.44914889,1.06012523
2,20260607,2,efficientnet_b0,384,192,0.01000000,0.49308042,0.50390990,0.95468003
2,20260607,3,efficientnet_b0,384,192,0.01000000,0.54520347,0.57843137,1.00715184
2,20260607,4,efficientnet_b0,384,192,0.01000000,0.45103650,0.45589582,1.03514373
3,20260608,0,efficientnet_b0,384,192,10.00000000,0.39527168,0.39890379,3.13511276
3,20260608,1,efficientnet_b0,384,192,0.01000000,0.53851435,0.55147059,0.88757449
3,20260608,2,efficientnet_b0,384,192,0.01000000,0.51174685,0.52024977,1.12282491
3,20260608,3,efficientnet_b0,384,192,0.01000000,0.46519397,0.46323529,1.07524538
3,20260608,4,efficientnet_b0,384,192,0.10000000,0.55501281,0.55700549,1.21759355
