repeat,seed,fold,encoder,image_width,image_height,selected_c,validation_macro_f1,validation_balanced_accuracy,validation_log_loss
1,20260606,0,resnet50,384,192,0.01000000,0.46504421,0.46398944,1.09450412
1,20260606,1,resnet50,384,192,0.01000000,0.46078025,0.46188860,1.05682302
1,20260606,2,resnet50,384,192,0.01000000,0.48472874,0.47782446,1.06442416
1,20260606,3,resnet50,384,192,0.01000000,0.51596842,0.52001634,1.07808769
1,20260606,4,resnet50,384,192,0.01000000,0.53115146,0.52667798,0.98675430
2,20260607,0,resnet50,384,192,0.01000000,0.53530037,0.52149321,0.96606106
2,20260607,1,resnet50,384,192,10.00000000,0.41968391,0.41740735,2.79591203
2,20260607,2,resnet50,384,192,10.00000000,0.49625538,0.49445612,2.09183431
2,20260607,3,resnet50,384,192,0.01000000,0.49221644,0.48733660,1.03726578
2,20260607,4,resnet50,384,192,0.10000000,0.52010053,0.51683366,1.45161641
3,20260608,0,resnet50,384,192,0.01000000,0.47521842,0.48016322,1.00915861
3,20260608,1,resnet50,384,192,0.01000000,0.45708540,0.45533021,1.05209649
3,20260608,2,resnet50,384,192,10.00000000,0.42608626,0.43201447,2.47588444
3,20260608,3,resnet50,384,192,0.01000000,0.48689215,0.49025444,1.09526122
3,20260608,4,resnet50,384,192,0.01000000,0.51385718,0.51469242,0.99472326
