repeat,seed,fold,eval_split,model,feature_set,probability_mode,temperature,n,accuracy,balanced_accuracy,macro_f1,precision_1,precision_2,precision_3,recall_1,recall_2,recall_3,f1_1,f1_2,f1_3,brier_score,log_loss,ece_10,ordinal_mae,quadratic_weighted_kappa,ovr_auroc
1,20260606,0,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,raw,1.00000000,198,0.58080808,0.55105311,0.54906894,0.50000000,0.65137615,0.49090909,0.50000000,0.63392857,0.51923077,0.50000000,0.64253394,0.50467290,0.66277362,1.35512832,0.23707771,0.43939394,0.44503452,0.69867994
1,20260606,0,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,temperature_scaled,3.66672521,198,0.58080808,0.55105311,0.54906894,0.50000000,0.65137615,0.49090909,0.50000000,0.63392857,0.51923077,0.50000000,0.64253394,0.50467290,0.55686403,0.91224929,0.07609940,0.43939394,0.44503452,0.70294423
1,20260606,0,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,raw,1.00000000,198,0.54545455,0.48238526,0.48977711,0.47826087,0.61538462,0.43103448,0.32352941,0.64285714,0.48076923,0.38596491,0.62882096,0.45454545,0.71736357,1.39749909,0.29045681,0.47979798,0.34634975,0.68514883
1,20260606,0,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,temperature_scaled,3.66672521,198,0.54545455,0.48238526,0.48977711,0.47826087,0.61538462,0.43103448,0.32352941,0.64285714,0.48076923,0.38596491,0.62882096,0.45454545,0.55519651,0.90489056,0.07163667,0.47979798,0.34634975,0.69250697
1,20260606,1,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,raw,1.00000000,198,0.51010101,0.45468380,0.45707827,0.39285714,0.59821429,0.39655172,0.32352941,0.59821429,0.44230769,0.35483871,0.59821429,0.41818182,0.87002185,2.92150087,0.40828984,0.52525253,0.29148472,0.66234530
1,20260606,1,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,temperature_scaled,4.99996861,198,0.51010101,0.45468380,0.45707827,0.39285714,0.59821429,0.39655172,0.32352941,0.59821429,0.44230769,0.35483871,0.59821429,0.41818182,0.61910379,1.00658220,0.15125902,0.52525253,0.29148472,0.67017410
1,20260606,1,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,raw,1.00000000,198,0.58080808,0.53747845,0.53308988,0.36111111,0.66355140,0.56363636,0.38235294,0.63392857,0.59615385,0.37142857,0.64840183,0.57943925,0.75672808,2.57224355,0.33729891,0.44949495,0.41801991,0.68918260
1,20260606,1,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,temperature_scaled,4.99996861,198,0.58080808,0.53747845,0.53308988,0.36111111,0.66355140,0.56363636,0.38235294,0.63392857,0.59615385,0.37142857,0.64840183,0.57943925,0.58073314,0.98052475,0.10832695,0.44949495,0.41801991,0.69251318
1,20260606,2,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,raw,1.00000000,198,0.56565657,0.56264814,0.54327894,0.43181818,0.66666667,0.50000000,0.55882353,0.57142857,0.55769231,0.48717949,0.61538462,0.52727273,0.56715276,0.95257088,0.11355142,0.46464646,0.43921569,0.72823647
1,20260606,2,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,temperature_scaled,2.00153555,198,0.56565657,0.56264814,0.54327894,0.43181818,0.66666667,0.50000000,0.55882353,0.57142857,0.55769231,0.48717949,0.61538462,0.52727273,0.54932039,0.90286632,0.07490471,0.46464646,0.43921569,0.73090308
1,20260606,2,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,raw,1.00000000,197,0.59390863,0.59780579,0.57812123,0.54761905,0.69387755,0.45614035,0.67647059,0.60714286,0.50980392,0.60526316,0.64761905,0.48148148,0.58021834,1.02887159,0.10722850,0.43654822,0.45979070,0.70345448
1,20260606,2,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,temperature_scaled,2.00153555,197,0.59390863,0.59780579,0.57812123,0.54761905,0.69387755,0.45614035,0.67647059,0.60714286,0.50980392,0.60526316,0.64761905,0.48148148,0.56581680,0.94422159,0.11527070,0.43654822,0.45979070,0.70133785
1,20260606,3,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,raw,1.00000000,197,0.60406091,0.58298319,0.57764731,0.58333333,0.69158879,0.44444444,0.61764706,0.66071429,0.47058824,0.60000000,0.67579909,0.45714286,0.63161461,1.41166118,0.20250472,0.43147208,0.42406166,0.69326798
1,20260606,3,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,temperature_scaled,3.94685922,197,0.60406091,0.58298319,0.57764731,0.58333333,0.69158879,0.44444444,0.61764706,0.66071429,0.47058824,0.60000000,0.67579909,0.45714286,0.56292957,0.95316317,0.11362749,0.43147208,0.42406166,0.69502885
1,20260606,3,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,raw,1.00000000,197,0.55329949,0.52591036,0.51644802,0.40476190,0.64761905,0.48000000,0.50000000,0.60714286,0.47058824,0.44736842,0.62672811,0.47524752,0.71293574,1.43183964,0.25051335,0.48223350,0.37933925,0.66339864
1,20260606,3,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,temperature_scaled,3.94685922,197,0.55329949,0.52591036,0.51644802,0.40476190,0.64761905,0.48000000,0.50000000,0.60714286,0.47058824,0.44736842,0.62672811,0.47524752,0.58545903,0.96076694,0.09443681,0.48223350,0.37933925,0.67088990
1,20260606,4,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,raw,1.00000000,197,0.50253807,0.47508170,0.46213470,0.32000000,0.61764706,0.44444444,0.47058824,0.56250000,0.39215686,0.38095238,0.58878505,0.41666667,0.62617994,1.01171668,0.16457039,0.54822335,0.29228179,0.67650398
1,20260606,4,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,temperature_scaled,1.68304509,197,0.50253807,0.47508170,0.46213470,0.32000000,0.61764706,0.44444444,0.47058824,0.56250000,0.39215686,0.38095238,0.58878505,0.41666667,0.58168586,0.94109360,0.12148640,0.54822335,0.29228179,0.68100878
1,20260606,4,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,raw,1.00000000,198,0.56565657,0.51824768,0.51744277,0.44827586,0.66355140,0.45161290,0.38235294,0.63392857,0.53846154,0.41269841,0.64840183,0.49122807,0.57896921,0.94578905,0.12721209,0.47979798,0.33918129,0.70605352
1,20260606,4,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,temperature_scaled,1.68304509,198,0.56565657,0.51824768,0.51744277,0.44827586,0.66355140,0.45161290,0.38235294,0.63392857,0.53846154,0.41269841,0.64840183,0.49122807,0.55028416,0.89496767,0.06021483,0.47979798,0.33918129,0.70717921
2,20260607,0,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,raw,1.00000000,198,0.54545455,0.50634292,0.50266219,0.38235294,0.62616822,0.49122807,0.38235294,0.59821429,0.53846154,0.38235294,0.61187215,0.51376147,0.60158654,1.00373236,0.16513181,0.47979798,0.39242504,0.69701731
2,20260607,0,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,temperature_scaled,2.20064243,198,0.54545455,0.50634292,0.50266219,0.38235294,0.62616822,0.49122807,0.38235294,0.59821429,0.53846154,0.38235294,0.61187215,0.51376147,0.56213157,0.92169309,0.06885706,0.47979798,0.39242504,0.69806207
2,20260607,0,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,raw,1.00000000,198,0.52525253,0.48062109,0.48294372,0.46875000,0.61061947,0.37735849,0.44117647,0.61607143,0.38461538,0.45454545,0.61333333,0.38095238,0.61181624,1.06936743,0.16457569,0.51010101,0.31212616,0.67380660
2,20260607,0,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,temperature_scaled,2.20064243,198,0.52525253,0.48062109,0.48294372,0.46875000,0.61061947,0.37735849,0.44117647,0.61607143,0.38461538,0.45454545,0.61333333,0.38095238,0.57323330,0.95049576,0.05757759,0.51010101,0.31212616,0.67476254
2,20260607,1,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,raw,1.00000000,198,0.52525253,0.50449795,0.49437173,0.47500000,0.63461538,0.35185185,0.55882353,0.58928571,0.36538462,0.51351351,0.61111111,0.35849057,0.59977503,1.04652217,0.14771768,0.52525253,0.30122951,0.68858275
2,20260607,1,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,temperature_scaled,2.11503294,198,0.52525253,0.50449795,0.49437173,0.47500000,0.63461538,0.35185185,0.55882353,0.58928571,0.36538462,0.51351351,0.61111111,0.35849057,0.56754827,0.94687468,0.02758018,0.52525253,0.30122951,0.69002846
2,20260607,1,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,raw,1.00000000,198,0.51515152,0.47470911,0.47182996,0.35897436,0.59459459,0.45833333,0.41176471,0.58928571,0.42307692,0.38356164,0.59192825,0.44000000,0.62630176,1.04871231,0.18757839,0.51010101,0.35225464,0.66152122
2,20260607,1,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,temperature_scaled,2.11503294,198,0.51515152,0.47470911,0.47182996,0.35897436,0.59459459,0.45833333,0.41176471,0.58928571,0.42307692,0.38356164,0.59192825,0.44000000,0.57536271,0.94448914,0.07760737,0.51010101,0.35225464,0.66707435
2,20260607,2,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,raw,1.00000000,198,0.51010101,0.45460300,0.45457707,0.34210526,0.58974359,0.44186047,0.38235294,0.61607143,0.36538462,0.36111111,0.60262009,0.40000000,0.70921688,1.53604914,0.28215661,0.52020202,0.30760810,0.65274197
2,20260607,2,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,temperature_scaled,3.33999963,198,0.51010101,0.45460300,0.45457707,0.34210526,0.58974359,0.44186047,0.38235294,0.61607143,0.36538462,0.36111111,0.60262009,0.40000000,0.59150461,0.98118751,0.05554305,0.52020202,0.30760810,0.65204878
2,20260607,2,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,raw,1.00000000,197,0.55329949,0.52205882,0.51453072,0.42857143,0.63063063,0.47727273,0.52941176,0.62500000,0.41176471,0.47368421,0.62780269,0.44210526,0.66136514,1.27682618,0.23780675,0.47208122,0.39644249,0.68956309
2,20260607,2,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,temperature_scaled,3.33999963,197,0.55329949,0.52205882,0.51453072,0.42857143,0.63063063,0.47727273,0.52941176,0.62500000,0.41176471,0.47368421,0.62780269,0.44210526,0.55642790,0.91134385,0.07711562,0.47208122,0.39644249,0.69425685
2,20260607,3,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,raw,1.00000000,197,0.46700508,0.45751634,0.43869532,0.34693878,0.58947368,0.35849057,0.50000000,0.50000000,0.37254902,0.40963855,0.54106280,0.36538462,0.66274112,1.05625839,0.21170288,0.58375635,0.27539983,0.65819537
2,20260607,3,test,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,temperature_scaled,1.87709574,197,0.46700508,0.45751634,0.43869532,0.34693878,0.58947368,0.35849057,0.50000000,0.50000000,0.37254902,0.40963855,0.54106280,0.36538462,0.59599094,0.95988295,0.08827514,0.58375635,0.27539983,0.66017435
2,20260607,3,val,frozen_embedding_logistic_sensitivity,image_embedding_plus_age_sex,raw,1.00000000,197,0.55837563,0.59447946,0.55947444,0.54545455,0.69512195,0.40845070,0.70588235,0.50892857,0.56862745,0.61538462,0.58762887,0.47540984,0.59673457,0.99026882,0.14305383,0.47715736,0.44711813,0.72573011
