repeat,seed,fold,eval_split,model,encoder,probability_mode,true_label,pred_label,count
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,raw,1,1,16
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,raw,1,2,14
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,raw,1,3,4
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,raw,2,1,15
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,raw,2,2,70
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,raw,2,3,27
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,raw,3,1,1
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,raw,3,2,24
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,raw,3,3,27
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,1,1,16
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,1,2,14
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,1,3,4
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,2,1,15
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,2,2,70
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,2,3,27
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,3,1,1
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,3,2,24
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,3,3,27
1,20260606,0,val,frozen_encoder_logistic,efficientnet_b0,raw,1,1,11
1,20260606,0,val,frozen_encoder_logistic,efficientnet_b0,raw,1,2,21
1,20260606,0,val,frozen_encoder_logistic,efficientnet_b0,raw,1,3,2
1,20260606,0,val,frozen_encoder_logistic,efficientnet_b0,raw,2,1,8
1,20260606,0,val,frozen_encoder_logistic,efficientnet_b0,raw,2,2,73
1,20260606,0,val,frozen_encoder_logistic,efficientnet_b0,raw,2,3,31
1,20260606,0,val,frozen_encoder_logistic,efficientnet_b0,raw,3,1,3
1,20260606,0,val,frozen_encoder_logistic,efficientnet_b0,raw,3,2,24
1,20260606,0,val,frozen_encoder_logistic,efficientnet_b0,raw,3,3,25
1,20260606,0,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,1,1,11
1,20260606,0,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,1,2,21
1,20260606,0,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,1,3,2
1,20260606,0,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,2,1,8
1,20260606,0,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,2,2,73
1,20260606,0,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,2,3,31
1,20260606,0,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,3,1,3
1,20260606,0,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,3,2,24
1,20260606,0,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,3,3,25
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,raw,1,1,11
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,raw,1,2,21
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,raw,1,3,2
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,raw,2,1,12
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,raw,2,2,66
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,raw,2,3,34
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,raw,3,1,5
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,raw,3,2,25
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,raw,3,3,22
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,1,1,11
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,1,2,21
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,1,3,2
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,2,1,12
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,2,2,66
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,2,3,34
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,3,1,5
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,3,2,25
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,3,3,22
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,raw,1,1,12
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,raw,1,2,19
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,raw,1,3,3
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,raw,2,1,19
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,raw,2,2,72
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,raw,2,3,21
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,raw,3,1,3
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,raw,3,2,20
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,raw,3,3,29
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,1,1,12
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,1,2,19
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,1,3,3
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,2,1,19
