repeat,seed,fold,eval_split,model,encoder,probability_mode,true_label,pred_label,count
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,raw,1,1,20
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,raw,1,2,11
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,raw,1,3,3
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,raw,2,1,16
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,raw,2,2,63
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,raw,2,3,33
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,raw,3,1,3
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,raw,3,2,16
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,raw,3,3,33
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,1,1,20
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,1,2,11
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,1,3,3
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,2,1,16
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,2,2,63
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,2,3,33
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,3,1,3
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,3,2,16
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,3,3,33
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,raw,1,1,19
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,raw,1,2,8
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,raw,1,3,7
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,raw,2,1,28
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,raw,2,2,51
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,raw,2,3,33
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,raw,3,1,10
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,raw,3,2,12
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,raw,3,3,30
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,1,1,19
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,1,2,8
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,1,3,7
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,2,1,28
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,2,2,51
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,2,3,33
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,3,1,10
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,3,2,12
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,3,3,30
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,raw,1,1,24
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,raw,1,2,5
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,raw,1,3,5
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,raw,2,1,35
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,raw,2,2,46
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,raw,2,3,31
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,raw,3,1,11
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,raw,3,2,12
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,raw,3,3,29
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,1,1,24
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,1,2,5
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,1,3,5
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,2,1,35
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,2,2,46
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,2,3,31
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,3,1,11
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,3,2,12
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,3,3,29
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,raw,1,1,26
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,raw,1,2,6
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,raw,1,3,2
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,raw,2,1,32
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,raw,2,2,49
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,raw,2,3,31
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,raw,3,1,12
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,raw,3,2,15
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,raw,3,3,25
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,1,1,26
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,1,2,6
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,1,3,2
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,2,1,32
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,2,2,49
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,2,3,31
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,3,1,12
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,3,2,15
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,3,3,25
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,raw,1,1,19
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,raw,1,2,8
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,raw,1,3,7
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,raw,2,1,22
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,raw,2,2,50
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,raw,2,3,40
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,raw,3,1,4
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,raw,3,2,21
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,raw,3,3,27
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,1,1,19
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,1,2,8
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,1,3,7
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,2,1,22
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,2,2,50
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,2,3,40
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,3,1,4
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,3,2,21
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,3,3,27
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,raw,1,1,13
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,raw,1,2,14
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,raw,1,3,7
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,raw,2,1,14
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,raw,2,2,49
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,raw,2,3,49
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,raw,3,1,8
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,raw,3,2,15
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,raw,3,3,28
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,1,1,13
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,1,2,14
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,1,3,7
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,2,1,14
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,2,2,49
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,2,3,49
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,3,1,8
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,3,2,15
1,20260606,2,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,3,3,28
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,raw,1,1,26
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,raw,1,2,7
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,raw,1,3,1
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,raw,2,1,34
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,raw,2,2,48
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,raw,2,3,30
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,raw,3,1,11
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,raw,3,2,18
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,raw,3,3,22
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,1,1,26
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,1,2,7
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,1,3,1
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,2,1,34
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,2,2,48
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,2,3,30
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,3,1,11
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,3,2,18
1,20260606,3,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,3,3,22
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,raw,1,1,23
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,raw,1,2,8
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,raw,1,3,3
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,raw,2,1,38
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,raw,2,2,51
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,raw,2,3,23
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,raw,3,1,8
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,raw,3,2,14
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,raw,3,3,29
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,1,1,23
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,1,2,8
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,1,3,3
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,2,1,38
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,2,2,51
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,2,3,23
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,3,1,8
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,3,2,14
1,20260606,3,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,3,3,29
1,20260606,4,test,lightly_finetuned_cnn,efficientnet_b0,raw,1,1,23
1,20260606,4,test,lightly_finetuned_cnn,efficientnet_b0,raw,1,2,9
1,20260606,4,test,lightly_finetuned_cnn,efficientnet_b0,raw,1,3,2
1,20260606,4,test,lightly_finetuned_cnn,efficientnet_b0,raw,2,1,36
1,20260606,4,test,lightly_finetuned_cnn,efficientnet_b0,raw,2,2,43
1,20260606,4,test,lightly_finetuned_cnn,efficientnet_b0,raw,2,3,33
1,20260606,4,test,lightly_finetuned_cnn,efficientnet_b0,raw,3,1,9
1,20260606,4,test,lightly_finetuned_cnn,efficientnet_b0,raw,3,2,15
