repeat,seed,fold,eval_split,model,encoder,probability_mode,bin,n,confidence_mean,accuracy
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.3-0.4,19,0.37396052,0.31578947
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.4-0.5,66,0.45073942,0.57575758
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.5-0.6,66,0.53967062,0.60606061
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.6-0.7,31,0.63589345,0.61290323
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.7-0.8,11,0.72779856,0.72727273
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.8-0.9,5,0.83330638,1.00000000
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.9-1.0,0,0.00000000,0.00000000
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.3-0.4,20,0.37044339,0.30000000
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.4-0.5,83,0.45050326,0.60240964
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.5-0.6,63,0.54200314,0.58730159
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.6-0.7,25,0.64207529,0.64000000
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.7-0.8,4,0.76377475,1.00000000
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.8-0.9,3,0.81163223,1.00000000
1,20260606,0,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.9-1.0,0,0.00000000,0.00000000
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.3-0.4,10,0.37175064,0.30000000
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.4-0.5,73,0.44986177,0.42465753
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.5-0.6,54,0.54790082,0.57407407
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.6-0.7,41,0.64466886,0.58536585
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.7-0.8,19,0.75259810,0.52631579
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.8-0.9,1,0.80158996,1.00000000
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.9-1.0,0,0.00000000,0.00000000
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.3-0.4,17,0.37972593,0.35294118
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.4-0.5,75,0.44729478,0.42666667
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.5-0.6,63,0.54683358,0.60317460
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.6-0.7,29,0.64490082,0.48275862
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.7-0.8,14,0.73250112,0.71428571
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.8-0.9,0,0.00000000,0.00000000
1,20260606,0,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.9-1.0,0,0.00000000,0.00000000
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.3-0.4,13,0.37784760,0.46153846
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.4-0.5,61,0.44699900,0.44262295
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.5-0.6,62,0.54708916,0.46774194
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.6-0.7,34,0.64463949,0.64705882
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.7-0.8,21,0.75061086,0.47619048
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.8-0.9,7,0.84453865,0.71428571
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.9-1.0,0,0.00000000,0.00000000
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.3-0.4,17,0.37723225,0.41176471
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.4-0.5,75,0.44782641,0.48000000
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.5-0.6,58,0.54190652,0.46551724
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.6-0.7,31,0.64376548,0.67741935
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.7-0.8,13,0.73372964,0.38461538
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.8-0.9,4,0.82354101,0.75000000
1,20260606,1,test,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.9-1.0,0,0.00000000,0.00000000
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.3-0.4,24,0.37417014,0.70833333
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.4-0.5,68,0.44916454,0.42647059
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.5-0.6,47,0.55875233,0.44680851
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.6-0.7,40,0.64345740,0.42500000
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.7-0.8,12,0.74151802,0.83333333
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.8-0.9,7,0.83973956,0.85714286
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,raw,0.9-1.0,0,0.00000000,0.00000000
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.3-0.4,33,0.37590213,0.60606061
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.4-0.5,69,0.44658676,0.46376812
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.5-0.6,57,0.55491800,0.42105263
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.6-0.7,28,0.63915139,0.50000000
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.7-0.8,9,0.74616161,1.00000000
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.8-0.9,2,0.84769466,0.50000000
1,20260606,1,val,lightly_finetuned_cnn,efficientnet_b0,temperature_scaled,0.9-1.0,0,0.00000000,0.00000000
1,20260606,2,test,lightly_finetuned_cnn,efficientnet_b0,raw,0.0-0.1,0,0.00000000,0.00000000
