repeat,seed,fold,eval_split,model,encoder,image_width,image_height,probability_mode,temperature,n,accuracy,balanced_accuracy,macro_f1,precision_1,precision_2,precision_3,recall_1,recall_2,recall_3,f1_1,f1_2,f1_3,brier_score,log_loss,ece_10,ordinal_mae,quadratic_weighted_kappa,ovr_auroc
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,384,192,raw,1.00000000,198,0.57070707,0.53827300,0.53737374,0.50000000,0.64814815,0.46551724,0.47058824,0.62500000,0.51923077,0.48484848,0.63636364,0.49090909,0.67395511,1.38330054,0.24590638,0.45454545,0.41613588,0.69139055
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,384,192,temperature_scaled,3.80232103,198,0.57070707,0.53827300,0.53737374,0.50000000,0.64814815,0.46551724,0.47058824,0.62500000,0.51923077,0.48484848,0.63636364,0.49090909,0.56137740,0.92006456,0.05618416,0.45454545,0.41613588,0.69646160
1,20260606,0,val,frozen_encoder_logistic,efficientnet_b0,384,192,raw,1.00000000,198,0.55050505,0.48536145,0.49406174,0.50000000,0.61864407,0.43103448,0.32352941,0.65178571,0.48076923,0.39285714,0.63478261,0.45454545,0.72883908,1.43548754,0.31365271,0.47474747,0.34777651,0.67599068
1,20260606,0,val,frozen_encoder_logistic,efficientnet_b0,384,192,temperature_scaled,3.80232103,198,0.55050505,0.48536145,0.49406174,0.50000000,0.61864407,0.43103448,0.32352941,0.65178571,0.48076923,0.39285714,0.63478261,0.45454545,0.56072436,0.91569327,0.09744888,0.47474747,0.34777651,0.68561079
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,384,192,raw,1.00000000,198,0.50000000,0.44529735,0.44804147,0.39285714,0.58928571,0.37931034,0.32352941,0.58928571,0.42307692,0.35483871,0.58928571,0.40000000,0.88815733,3.11216932,0.41876413,0.53535354,0.27947598,0.65202834
1,20260606,1,test,frozen_encoder_logistic,efficientnet_b0,384,192,temperature_scaled,4.99996875,198,0.50000000,0.44529735,0.44804147,0.39285714,0.58928571,0.37931034,0.32352941,0.58928571,0.42307692,0.35483871,0.58928571,0.40000000,0.63474105,1.03789510,0.17456723,0.53535354,0.27947598,0.65838753
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,384,192,raw,1.00000000,198,0.57070707,0.51783021,0.51702068,0.35294118,0.64864865,0.54716981,0.35294118,0.64285714,0.55769231,0.35294118,0.64573991,0.55238095,0.77356912,2.65545492,0.34691601,0.45959596,0.39249330,0.68459542
1,20260606,1,val,frozen_encoder_logistic,efficientnet_b0,384,192,temperature_scaled,4.99996875,198,0.57070707,0.51783021,0.51702068,0.35294118,0.64864865,0.54716981,0.35294118,0.64285714,0.55769231,0.35294118,0.64573991,0.55238095,0.58691546,0.99056100,0.13350881,0.45959596,0.39249330,0.68725572
1,20260606,2,test,frozen_encoder_logistic,efficientnet_b0,384,192,raw,1.00000000,198,0.57070707,0.55879660,0.54317612,0.42857143,0.67346939,0.50000000,0.52941176,0.58928571,0.55769231,0.47368421,0.62857143,0.52727273,0.57860875,0.96565527,0.13339869,0.46464646,0.42105263,0.71893389
1,20260606,2,test,frozen_encoder_logistic,efficientnet_b0,384,192,temperature_scaled,2.07235384,198,0.57070707,0.55879660,0.54317612,0.42857143,0.67346939,0.50000000,0.52941176,0.58928571,0.55769231,0.47368421,0.62857143,0.52727273,0.55676870,0.91299524,0.08365258,0.46464646,0.42105263,0.72165317
1,20260606,2,val,frozen_encoder_logistic,efficientnet_b0,384,192,raw,1.00000000,197,0.57360406,0.57907330,0.55889155,0.52380952,0.67708333,0.44067797,0.64705882,0.58035714,0.50980392,0.57894737,0.62500000,0.47272727,0.58995468,1.04649844,0.12259704,0.45685279,0.44282387,0.69653493
1,20260606,2,val,frozen_encoder_logistic,efficientnet_b0,384,192,temperature_scaled,2.07235384,197,0.57360406,0.57907330,0.55889155,0.52380952,0.67708333,0.44067797,0.64705882,0.58035714,0.50980392,0.57894737,0.62500000,0.47272727,0.57317289,0.95540129,0.11355636,0.45685279,0.44282387,0.69278881
1,20260606,3,test,frozen_encoder_logistic,efficientnet_b0,384,192,raw,1.00000000,197,0.58375635,0.56069094,0.55024565,0.50000000,0.68571429,0.44230769,0.58823529,0.64285714,0.45098039,0.54054054,0.66359447,0.44660194,0.65019011,1.45815009,0.19356010,0.46192893,0.37688982,0.68342645
1,20260606,3,test,frozen_encoder_logistic,efficientnet_b0,384,192,temperature_scaled,4.11428610,197,0.58375635,0.56069094,0.55024565,0.50000000,0.68571429,0.44230769,0.58823529,0.64285714,0.45098039,0.54054054,0.66359447,0.44660194,0.57174634,0.96562354,0.11097379,0.46192893,0.37688982,0.68538516
1,20260606,3,val,frozen_encoder_logistic,efficientnet_b0,384,192,raw,1.00000000,197,0.54822335,0.51254669,0.50469338,0.38095238,0.65094340,0.46938776,0.47058824,0.61607143,0.45098039,0.42105263,0.63302752,0.46000000,0.72348547,1.46786461,0.24175298,0.49746193,0.33635360,0.65630509
