repeat,seed,fold,eval_split,model,encoder,probability_mode,bin,n,confidence_mean,accuracy
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,raw,0.3-0.4,1,0.38476523,1.00000000
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,raw,0.4-0.5,10,0.46142256,0.40000000
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,raw,0.5-0.6,17,0.56036330,0.52941176
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,raw,0.6-0.7,28,0.63878233,0.53571429
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,raw,0.7-0.8,30,0.75815111,0.60000000
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,raw,0.8-0.9,26,0.86107167,0.53846154
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,raw,0.9-1.0,86,0.96413401,0.60465116
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.3-0.4,14,0.37638786,0.50000000
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.4-0.5,61,0.45047352,0.54098361
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.5-0.6,67,0.54907660,0.55223881
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.6-0.7,32,0.64808704,0.59375000
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.7-0.8,15,0.74879987,0.73333333
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.8-0.9,9,0.85445869,0.66666667
1,20260606,0,test,frozen_encoder_logistic,efficientnet_b0,temperature_scaled,0.9-1.0,0,0.00000000,0.00000000
