repeat,seed,fold,eval_split,model,encoder,image_width,image_height,probability_mode,temperature,n,accuracy,balanced_accuracy,macro_f1,precision_1,precision_2,precision_3,recall_1,recall_2,recall_3,f1_1,f1_2,f1_3,brier_score,log_loss,ece_10,ordinal_mae,quadratic_weighted_kappa,ovr_auroc
1,20260606,0,test,frozen_encoder_logistic,resnet50,384,192,raw,1.00000000,198,0.55555556,0.50191230,0.50382872,0.46875000,0.66071429,0.38888889,0.44117647,0.66071429,0.40384615,0.45454545,0.66071429,0.39622642,0.59805187,1.00808399,0.17697450,0.50505051,0.26190476,0.69622169
1,20260606,0,test,frozen_encoder_logistic,resnet50,384,192,temperature_scaled,2.34806622,198,0.55555556,0.50191230,0.50382872,0.46875000,0.66071429,0.38888889,0.44117647,0.66071429,0.40384615,0.45454545,0.66071429,0.39622642,0.55142334,0.90999528,0.04185428,0.50505051,0.26190476,0.70035691
1,20260606,0,val,frozen_encoder_logistic,resnet50,384,192,raw,1.00000000,198,0.52020202,0.46398944,0.46504421,0.38235294,0.60869565,0.40816327,0.38235294,0.62500000,0.38461538,0.38235294,0.61674009,0.39603960,0.63935288,1.09450406,0.16540430,0.52020202,0.28430837,0.64763471
1,20260606,0,val,frozen_encoder_logistic,resnet50,384,192,temperature_scaled,2.34806622,198,0.52020202,0.46398944,0.46504421,0.38235294,0.60869565,0.40816327,0.38235294,0.62500000,0.38461538,0.38235294,0.61674009,0.39603960,0.58653933,0.96453835,0.05679732,0.52020202,0.28430837,0.65475410
1,20260606,1,test,frozen_encoder_logistic,resnet50,384,192,raw,1.00000000,198,0.50505051,0.45158640,0.45305777,0.42424242,0.60000000,0.34000000,0.41176471,0.61607143,0.32692308,0.41791045,0.60792952,0.33333333,0.65631180,1.11482934,0.19019564,0.54040404,0.24657534,0.64770129
1,20260606,1,test,frozen_encoder_logistic,resnet50,384,192,temperature_scaled,2.06220444,198,0.50505051,0.45158640,0.45305777,0.42424242,0.60000000,0.34000000,0.41176471,0.61607143,0.32692308,0.41791045,0.60792952,0.33333333,0.59454911,0.96768431,0.07299737,0.54040404,0.24657534,0.65373350
1,20260606,1,val,frozen_encoder_logistic,resnet50,384,192,raw,1.00000000,198,0.50505051,0.46188860,0.46078025,0.40000000,0.59459459,0.38461538,0.41176471,0.58928571,0.38461538,0.40579710,0.59192825,0.38461538,0.63559581,1.05682295,0.15908625,0.53030303,0.29962547,0.66167493
1,20260606,1,val,frozen_encoder_logistic,resnet50,384,192,temperature_scaled,2.06220444,198,0.50505051,0.46188860,0.46078025,0.40000000,0.59459459,0.38461538,0.41176471,0.58928571,0.38461538,0.40579710,0.59192825,0.38461538,0.59082473,0.96563342,0.05469952,0.53030303,0.29962547,0.66364041
1,20260606,2,test,frozen_encoder_logistic,resnet50,384,192,raw,1.00000000,198,0.52525253,0.44991651,0.45360250,0.30303030,0.60833333,0.46666667,0.29411765,0.65178571,0.40384615,0.29850746,0.62931034,0.43298969,0.64450389,1.10272234,0.15968109,0.51515152,0.27078652,0.64976176
1,20260606,2,test,frozen_encoder_logistic,resnet50,384,192,temperature_scaled,2.14871703,198,0.52525253,0.44991651,0.45360250,0.30303030,0.60833333,0.46666667,0.29411765,0.65178571,0.40384615,0.29850746,0.62931034,0.43298969,0.59352187,0.97622579,0.07921081,0.51515152,0.27078652,0.65228640
1,20260606,2,val,frozen_encoder_logistic,resnet50,384,192,raw,1.00000000,197,0.54314721,0.47782446,0.48472874,0.50000000,0.60800000,0.38095238,0.44117647,0.67857143,0.31372549,0.46875000,0.64135021,0.34408602,0.62433483,1.06442417,0.18957153,0.48223350,0.32226991,0.65490697
1,20260606,2,val,frozen_encoder_logistic,resnet50,384,192,temperature_scaled,2.14871703,197,0.54314721,0.47782446,0.48472874,0.50000000,0.60800000,0.38095238,0.44117647,0.67857143,0.31372549,0.46875000,0.64135021,0.34408602,0.57326845,0.95000862,0.03708244,0.48223350,0.32226991,0.65590331
1,20260606,3,test,frozen_encoder_logistic,resnet50,384,192,raw,1.00000000,197,0.57868020,0.53723156,0.53723156,0.50000000,0.66071429,0.45098039,0.50000000,0.66071429,0.45098039,0.50000000,0.66071429,0.45098039,0.57264887,1.01645717,0.10574367,0.45685279,0.37749149,0.68437470
1,20260606,3,test,frozen_encoder_logistic,resnet50,384,192,temperature_scaled,2.21140841,197,0.57868020,0.53723156,0.53723156,0.50000000,0.66071429,0.45098039,0.50000000,0.66071429,0.45098039,0.50000000,0.66071429,0.45098039,0.55773174,0.93246191,0.06824369,0.45685279,0.37749149,0.68284471
1,20260606,3,val,frozen_encoder_logistic,resnet50,384,192,raw,1.00000000,197,0.57360406,0.52001634,0.51596842,0.39534884,0.65254237,0.52777778,0.50000000,0.68750000,0.37254902,0.44155844,0.66956522,0.43678161,0.60508094,1.07808773,0.14403881,0.46700508,0.34627911,0.66451586
1,20260606,3,val,frozen_encoder_logistic,resnet50,384,192,temperature_scaled,2.21140841,197,0.57360406,0.52001634,0.51596842,0.39534884,0.65254237,0.52777778,0.50000000,0.68750000,0.37254902,0.44155844,0.66956522,0.43678161,0.57944873,0.96216321,0.09626115,0.46700508,0.34627911,0.66270794
1,20260606,4,test,frozen_encoder_logistic,resnet50,384,192,raw,1.00000000,197,0.55837563,0.49031279,0.48994696,0.40540541,0.64462810,0.43589744,0.44117647,0.69642857,0.33333333,0.42253521,0.66952790,0.37777778,0.60089243,1.04770178,0.15256548,0.49238579,0.27173054,0.67161214
1,20260606,4,test,frozen_encoder_logistic,resnet50,384,192,temperature_scaled,1.92542969,197,0.55837563,0.49031279,0.48994696,0.40540541,0.64462810,0.43589744,0.44117647,0.69642857,0.33333333,0.42253521,0.66952790,0.37777778,0.56628081,0.93799554,0.05681686,0.49238579,0.27173054,0.67028782
1,20260606,4,val,frozen_encoder_logistic,resnet50,384,192,raw,1.00000000,198,0.58585859,0.52667798,0.53115146,0.45161290,0.65811966,0.50000000,0.41176471,0.68750000,0.48076923,0.43076923,0.67248908,0.49019608,0.58021909,0.98675429,0.15177512,0.44949495,0.37020567,0.71794716
1,20260606,4,val,frozen_encoder_logistic,resnet50,384,192,temperature_scaled,1.92542969,198,0.58585859,0.52667798,0.53115146,0.45161290,0.65811966,0.50000000,0.41176471,0.68750000,0.48076923,0.43076923,0.67248908,0.49019608,0.54627668,0.90164704,0.07143971,0.44949495,0.37020567,0.71711071
2,20260607,0,test,frozen_encoder_logistic,resnet50,384,192,raw,1.00000000,198,0.47979798,0.41282859,0.41428441,0.31250000,0.58260870,0.35294118,0.29411765,0.59821429,0.34615385,0.30303030,0.59030837,0.34951456,0.65925025,1.10107855,0.21527998,0.57070707,0.19659528,0.63559720
