repeat,seed,fold,eval_split,model,encoder,probability_mode,bin,n,confidence_mean,accuracy
1,20260606,0,test,frozen_encoder_logistic,resnet50,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,0,test,frozen_encoder_logistic,resnet50,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,0,test,frozen_encoder_logistic,resnet50,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,0,test,frozen_encoder_logistic,resnet50,raw,0.3-0.4,2,0.39363920,1.00000000
1,20260606,0,test,frozen_encoder_logistic,resnet50,raw,0.4-0.5,25,0.45295742,0.48000000
1,20260606,0,test,frozen_encoder_logistic,resnet50,raw,0.5-0.6,24,0.55919398,0.25000000
1,20260606,0,test,frozen_encoder_logistic,resnet50,raw,0.6-0.7,39,0.64623221,0.53846154
1,20260606,0,test,frozen_encoder_logistic,resnet50,raw,0.7-0.8,37,0.73318634,0.62162162
1,20260606,0,test,frozen_encoder_logistic,resnet50,raw,0.8-0.9,43,0.85100943,0.58139535
1,20260606,0,test,frozen_encoder_logistic,resnet50,raw,0.9-1.0,28,0.95739830,0.75000000
1,20260606,0,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,0,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,0,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,0,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.3-0.4,22,0.38047585,0.45454545
1,20260606,0,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.4-0.5,62,0.46188421,0.46774194
1,20260606,0,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.5-0.6,60,0.54241583,0.58333333
1,20260606,0,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.6-0.7,33,0.63449277,0.57575758
1,20260606,0,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.7-0.8,13,0.75186870,0.69230769
1,20260606,0,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.8-0.9,7,0.85290684,1.00000000
1,20260606,0,test,frozen_encoder_logistic,resnet50,temperature_scaled,0.9-1.0,1,0.90281955,1.00000000
1,20260606,0,val,frozen_encoder_logistic,resnet50,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,0,val,frozen_encoder_logistic,resnet50,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,0,val,frozen_encoder_logistic,resnet50,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,0,val,frozen_encoder_logistic,resnet50,raw,0.3-0.4,2,0.37658982,0.00000000
1,20260606,0,val,frozen_encoder_logistic,resnet50,raw,0.4-0.5,21,0.46080839,0.38095238
1,20260606,0,val,frozen_encoder_logistic,resnet50,raw,0.5-0.6,44,0.54939560,0.50000000
1,20260606,0,val,frozen_encoder_logistic,resnet50,raw,0.6-0.7,39,0.64472614,0.58974359
1,20260606,0,val,frozen_encoder_logistic,resnet50,raw,0.7-0.8,40,0.74389745,0.52500000
1,20260606,0,val,frozen_encoder_logistic,resnet50,raw,0.8-0.9,32,0.84772073,0.46875000
1,20260606,0,val,frozen_encoder_logistic,resnet50,raw,0.9-1.0,20,0.95596044,0.70000000
