repeat,seed,fold,eval_split,model,encoder,image_width,image_height,probability_mode,temperature,n,accuracy,balanced_accuracy,macro_f1,precision_1,precision_2,precision_3,recall_1,recall_2,recall_3,f1_1,f1_2,f1_3,brier_score,log_loss,ece_10,ordinal_mae,quadratic_weighted_kappa,ovr_auroc
1,20260606,0,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,384,384,raw,1.00000000,198,0.61616162,0.55479692,0.56671111,0.57692308,0.66942149,0.50980392,0.44117647,0.72321429,0.50000000,0.50000000,0.69527897,0.50485437,0.56687892,0.98428985,0.19442263,0.40909091,0.42570281,0.72443666
1,20260606,0,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,384,384,temperature_scaled,2.29746426,198,0.61616162,0.55479692,0.56671111,0.57692308,0.66942149,0.50980392,0.44117647,0.72321429,0.50000000,0.50000000,0.69527897,0.50485437,0.52291473,0.86076483,0.04809196,0.40909091,0.42570281,0.72578667
1,20260606,0,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,384,384,raw,1.00000000,198,0.55050505,0.49901691,0.49789690,0.38235294,0.64545455,0.46296296,0.38235294,0.63392857,0.48076923,0.38235294,0.63963964,0.47169811,0.59966560,1.04769777,0.19549164,0.49494949,0.31910352,0.70992051
1,20260606,0,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,384,384,temperature_scaled,2.29746426,198,0.55050505,0.49901691,0.49789690,0.38235294,0.64545455,0.46296296,0.38235294,0.63392857,0.48076923,0.38235294,0.63963964,0.47169811,0.54429223,0.89274315,0.06666539,0.49494949,0.31910352,0.71121384
1,20260606,1,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,384,384,raw,1.00000000,198,0.53030303,0.46654816,0.47234329,0.42857143,0.61016949,0.40384615,0.35294118,0.64285714,0.40384615,0.38709677,0.62608696,0.40384615,0.69200164,1.49302460,0.28828795,0.50505051,0.29471316,0.66907734
1,20260606,1,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,384,384,temperature_scaled,3.46436276,198,0.53030303,0.46654816,0.47234329,0.42857143,0.61016949,0.40384615,0.35294118,0.64285714,0.40384615,0.38709677,0.62608696,0.40384615,0.56651580,0.92849438,0.05857446,0.50505051,0.29471316,0.67608237
1,20260606,1,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,384,384,raw,1.00000000,198,0.57070707,0.54506033,0.53667003,0.46153846,0.66666667,0.46296296,0.52941176,0.62500000,0.48076923,0.49315068,0.64516129,0.47169811,0.64250263,1.31760333,0.25475168,0.46969697,0.38164002,0.71456378
1,20260606,1,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,384,384,temperature_scaled,3.46436276,198,0.57070707,0.54506033,0.53667003,0.46153846,0.66666667,0.46296296,0.52941176,0.62500000,0.48076923,0.49315068,0.64516129,0.47169811,0.54144464,0.89219308,0.05072336,0.46969697,0.38164002,0.71584158
1,20260606,2,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,384,384,raw,1.00000000,198,0.57070707,0.54162627,0.53304625,0.42857143,0.65740741,0.50000000,0.52941176,0.63392857,0.46153846,0.47368421,0.64545455,0.48000000,0.56028687,0.96972837,0.18621450,0.46464646,0.39397089,0.73908452
1,20260606,2,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,384,384,temperature_scaled,2.73728964,198,0.57070707,0.54162627,0.53304625,0.42857143,0.65740741,0.50000000,0.52941176,0.63392857,0.46153846,0.47368421,0.64545455,0.48000000,0.52940024,0.87954465,0.04215417,0.46464646,0.39397089,0.73983741
