repeat,seed,fold,eval_split,model,encoder,probability_mode,bin,n,confidence_mean,accuracy
1,20260606,0,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,0,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,0,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,0,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.3-0.4,1,0.37008996,0.00000000
1,20260606,0,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.4-0.5,13,0.45674070,0.53846154
1,20260606,0,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.5-0.6,29,0.54774512,0.72413793
1,20260606,0,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.6-0.7,34,0.65926316,0.44117647
1,20260606,0,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.7-0.8,37,0.74538306,0.59459459
1,20260606,0,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.8-0.9,42,0.85561884,0.54761905
1,20260606,0,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.9-1.0,42,0.95280276,0.80952381
1,20260606,0,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,0,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,0,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,0,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.3-0.4,9,0.37787920,0.33333333
1,20260606,0,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.4-0.5,50,0.45644233,0.62000000
1,20260606,0,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.5-0.6,61,0.54572427,0.54098361
1,20260606,0,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.6-0.7,44,0.64439365,0.63636364
1,20260606,0,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.7-0.8,20,0.74191614,0.75000000
1,20260606,0,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.8-0.9,14,0.84719757,0.85714286
1,20260606,0,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.9-1.0,0,0.00000000,0.00000000
1,20260606,0,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,0,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,0,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,0,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.3-0.4,1,0.37848806,0.00000000
1,20260606,0,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.4-0.5,9,0.46055000,0.11111111
1,20260606,0,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.5-0.6,29,0.55143488,0.41379310
1,20260606,0,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.6-0.7,40,0.64106666,0.55000000
1,20260606,0,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.7-0.8,32,0.74290785,0.43750000
1,20260606,0,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.8-0.9,46,0.84380563,0.69565217
1,20260606,0,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.9-1.0,41,0.95028094,0.68292683
1,20260606,0,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,0,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,0,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,0,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.3-0.4,6,0.37736385,0.00000000
1,20260606,0,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.4-0.5,56,0.46035524,0.41071429
1,20260606,0,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.5-0.6,59,0.54484086,0.50847458
1,20260606,0,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.6-0.7,44,0.63898352,0.72727273
1,20260606,0,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.7-0.8,24,0.74002247,0.75000000
1,20260606,0,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.8-0.9,8,0.84850275,0.62500000
1,20260606,0,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.9-1.0,1,0.90214657,1.00000000
1,20260606,1,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,1,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,1,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,1,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.3-0.4,0,0.00000000,0.00000000
1,20260606,1,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.4-0.5,7,0.45100428,0.14285714
