repeat,seed,fold,eval_split,model,feature_set,true_label,pred_label,count
1,20260606,0,val,majority_class,class_prior,1,1,0
1,20260606,0,val,majority_class,class_prior,1,2,34
1,20260606,0,val,majority_class,class_prior,1,3,0
1,20260606,0,val,majority_class,class_prior,2,1,0
1,20260606,0,val,majority_class,class_prior,2,2,112
1,20260606,0,val,majority_class,class_prior,2,3,0
1,20260606,0,val,majority_class,class_prior,3,1,0
1,20260606,0,val,majority_class,class_prior,3,2,52
1,20260606,0,val,majority_class,class_prior,3,3,0
1,20260606,0,val,stratified_random,class_prior,1,1,9
1,20260606,0,val,stratified_random,class_prior,1,2,19
1,20260606,0,val,stratified_random,class_prior,1,3,6
1,20260606,0,val,stratified_random,class_prior,2,1,16
1,20260606,0,val,stratified_random,class_prior,2,2,62
1,20260606,0,val,stratified_random,class_prior,2,3,34
1,20260606,0,val,stratified_random,class_prior,3,1,11
1,20260606,0,val,stratified_random,class_prior,3,2,29
1,20260606,0,val,stratified_random,class_prior,3,3,12
1,20260606,0,test,majority_class,class_prior,1,1,0
1,20260606,0,test,majority_class,class_prior,1,2,34
1,20260606,0,test,majority_class,class_prior,1,3,0
1,20260606,0,test,majority_class,class_prior,2,1,0
1,20260606,0,test,majority_class,class_prior,2,2,112
1,20260606,0,test,majority_class,class_prior,2,3,0
1,20260606,0,test,majority_class,class_prior,3,1,0
1,20260606,0,test,majority_class,class_prior,3,2,52
1,20260606,0,test,majority_class,class_prior,3,3,0
1,20260606,0,test,stratified_random,class_prior,1,1,8
1,20260606,0,test,stratified_random,class_prior,1,2,16
1,20260606,0,test,stratified_random,class_prior,1,3,10
1,20260606,0,test,stratified_random,class_prior,2,1,17
1,20260606,0,test,stratified_random,class_prior,2,2,68
1,20260606,0,test,stratified_random,class_prior,2,3,27
1,20260606,0,test,stratified_random,class_prior,3,1,10
1,20260606,0,test,stratified_random,class_prior,3,2,34
1,20260606,0,test,stratified_random,class_prior,3,3,8
1,20260606,0,val,multinomial_logistic,age_sex,1,1,30
1,20260606,0,val,multinomial_logistic,age_sex,1,2,2
1,20260606,0,val,multinomial_logistic,age_sex,1,3,2
1,20260606,0,val,multinomial_logistic,age_sex,2,1,28
1,20260606,0,val,multinomial_logistic,age_sex,2,2,68
1,20260606,0,val,multinomial_logistic,age_sex,2,3,16
1,20260606,0,val,multinomial_logistic,age_sex,3,1,18
1,20260606,0,val,multinomial_logistic,age_sex,3,2,20
1,20260606,0,val,multinomial_logistic,age_sex,3,3,14
1,20260606,0,test,multinomial_logistic,age_sex,1,1,29
1,20260606,0,test,multinomial_logistic,age_sex,1,2,2
1,20260606,0,test,multinomial_logistic,age_sex,1,3,3
1,20260606,0,test,multinomial_logistic,age_sex,2,1,29
1,20260606,0,test,multinomial_logistic,age_sex,2,2,56
1,20260606,0,test,multinomial_logistic,age_sex,2,3,27
1,20260606,0,test,multinomial_logistic,age_sex,3,1,14
1,20260606,0,test,multinomial_logistic,age_sex,3,2,20
1,20260606,0,test,multinomial_logistic,age_sex,3,3,18
1,20260606,0,val,multinomial_logistic,image_geometry_file,1,1,18
1,20260606,0,val,multinomial_logistic,image_geometry_file,1,2,14
1,20260606,0,val,multinomial_logistic,image_geometry_file,1,3,2
1,20260606,0,val,multinomial_logistic,image_geometry_file,2,1,57
1,20260606,0,val,multinomial_logistic,image_geometry_file,2,2,48
1,20260606,0,val,multinomial_logistic,image_geometry_file,2,3,7
1,20260606,0,val,multinomial_logistic,image_geometry_file,3,1,27
1,20260606,0,val,multinomial_logistic,image_geometry_file,3,2,20
1,20260606,0,val,multinomial_logistic,image_geometry_file,3,3,5
1,20260606,0,test,multinomial_logistic,image_geometry_file,1,1,19
1,20260606,0,test,multinomial_logistic,image_geometry_file,1,2,14
1,20260606,0,test,multinomial_logistic,image_geometry_file,1,3,1
1,20260606,0,test,multinomial_logistic,image_geometry_file,2,1,35
1,20260606,0,test,multinomial_logistic,image_geometry_file,2,2,66
1,20260606,0,test,multinomial_logistic,image_geometry_file,2,3,11
1,20260606,0,test,multinomial_logistic,image_geometry_file,3,1,23
1,20260606,0,test,multinomial_logistic,image_geometry_file,3,2,28
1,20260606,0,test,multinomial_logistic,image_geometry_file,3,3,1
1,20260606,0,val,multinomial_logistic,admin_index,1,1,11
1,20260606,0,val,multinomial_logistic,admin_index,1,2,2
1,20260606,0,val,multinomial_logistic,admin_index,1,3,21
1,20260606,0,val,multinomial_logistic,admin_index,2,1,69
1,20260606,0,val,multinomial_logistic,admin_index,2,2,0
1,20260606,0,val,multinomial_logistic,admin_index,2,3,43
1,20260606,0,val,multinomial_logistic,admin_index,3,1,27
1,20260606,0,val,multinomial_logistic,admin_index,3,2,0
1,20260606,0,val,multinomial_logistic,admin_index,3,3,25
1,20260606,0,test,multinomial_logistic,admin_index,1,1,9
1,20260606,0,test,multinomial_logistic,admin_index,1,2,1
1,20260606,0,test,multinomial_logistic,admin_index,1,3,24
