repeat,seed,fold,eval_split,model,feature_set,selected_l2,n,accuracy,balanced_accuracy,macro_f1,precision_1,precision_2,precision_3,recall_1,recall_2,recall_3,f1_1,f1_2,f1_3,brier_score,log_loss,ece_10
1,20260606,0,val,majority_class,class_prior,,198,0.56565657,0.33333333,0.24086022,0.00000000,0.56565657,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.72258065,0.00000000,0.58158350,0.97599623,0.00191100
1,20260606,0,val,stratified_random,class_prior,,198,0.41919192,0.34968218,0.34882355,0.25000000,0.56363636,0.23076923,0.26470588,0.55357143,0.23076923,0.25714286,0.55855856,0.23076923,0.58158350,0.97599623,0.14837565
1,20260606,0,test,majority_class,class_prior,,198,0.56565657,0.33333333,0.24086022,0.00000000,0.56565657,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.72258065,0.00000000,0.58158350,0.97599623,0.00191100
1,20260606,0,test,stratified_random,class_prior,,198,0.42424242,0.33209438,0.32937895,0.22857143,0.57627119,0.17777778,0.23529412,0.60714286,0.15384615,0.23188406,0.59130435,0.16494845,0.58158350,0.97599623,0.14332514
1,20260606,0,val,multinomial_logistic,age_sex,0.00100000,198,0.56565657,0.58624219,0.51735174,0.39473684,0.75555556,0.43750000,0.88235294,0.60714286,0.26923077,0.54545455,0.67326733,0.33333333,0.56954226,0.92863890,0.08480501
1,20260606,0,test,multinomial_logistic,age_sex,0.00100000,198,0.52020202,0.56636501,0.49888117,0.40277778,0.71794872,0.37500000,0.85294118,0.50000000,0.34615385,0.54716981,0.58947368,0.36000000,0.57421958,0.93271104,0.05316865
1,20260606,0,val,multinomial_logistic,image_geometry_file,0.00100000,198,0.35858586,0.35137901,0.30368880,0.17647059,0.58536585,0.35714286,0.52941176,0.42857143,0.09615385,0.26470588,0.49484536,0.15151515,0.67012234,1.10430436,0.06109535
1,20260606,0,test,multinomial_logistic,image_geometry_file,0.00100000,198,0.43434343,0.38911334,0.32437052,0.24675325,0.61111111,0.07692308,0.55882353,0.58928571,0.01923077,0.34234234,0.60000000,0.03076923,0.66848911,1.11427752,0.10016368
1,20260606,0,val,multinomial_logistic,admin_index,1.00000000,198,0.18181818,0.26809955,0.17021277,0.10280374,0.00000000,0.28089888,0.32352941,0.00000000,0.48076923,0.15602837,0.00000000,0.35460993,0.66650599,1.09822774,0.16314277
1,20260606,0,test,multinomial_logistic,admin_index,1.00000000,198,0.18686869,0.26772247,0.16860854,0.09278351,0.00000000,0.28000000,0.26470588,0.00000000,0.53846154,0.13740458,0.00000000,0.36842105,0.66500526,1.09593420,0.15809220
1,20260606,0,val,multinomial_logistic,age_sex_geometry,0.01000000,198,0.54545455,0.58124596,0.51680939,0.40277778,0.75308642,0.40000000,0.85294118,0.54464286,0.34615385,0.54716981,0.63212435,0.37113402,0.57382439,0.93705329,0.05132861
1,20260606,0,test,multinomial_logistic,age_sex_geometry,0.01000000,198,0.47474747,0.51897490,0.45077653,0.42028986,0.65432099,0.25000000,0.85294118,0.47321429,0.23076923,0.56310680,0.54922280,0.24000000,0.58956174,0.96140336,0.06771749
1,20260606,0,val,multinomial_logistic,downstream_status,0.01000000,198,0.38383838,0.50653146,0.38685799,0.27927928,0.62500000,0.42553191,0.91176471,0.22321429,0.38461538,0.42758621,0.32894737,0.40404040,0.63525904,1.02907367,0.12135812
1,20260606,0,test,multinomial_logistic,downstream_status,0.01000000,198,0.37373737,0.51088128,0.38161931,0.27433628,0.57142857,0.46000000,0.91176471,0.17857143,0.44230769,0.42176871,0.27210884,0.45098039,0.63219980,1.02699498,0.07309832
1,20260606,0,val,multinomial_logistic,downstream_plus_age_sex,0.10000000,198,0.56060606,0.60039593,0.52735521,0.38750000,0.75000000,0.50000000,0.91176471,0.56250000,0.32692308,0.54385965,0.64285714,0.39534884,0.57228763,0.94295154,0.10810561
1,20260606,0,test,multinomial_logistic,downstream_plus_age_sex,0.10000000,198,0.52525253,0.57273486,0.50005753,0.37037037,0.69512195,0.48571429,0.88235294,0.50892857,0.32692308,0.52173913,0.58762887,0.39080460,0.57398812,0.94570064,0.09935412
1,20260606,1,val,majority_class,class_prior,,198,0.56565657,0.33333333,0.24086022,0.00000000,0.56565657,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.72258065,0.00000000,0.58158350,0.97599623,0.00191100
1,20260606,1,val,stratified_random,class_prior,,198,0.41414141,0.28865008,0.28274315,0.03703704,0.56451613,0.23404255,0.02941176,0.62500000,0.21153846,0.03278689,0.59322034,0.22222222,0.58158350,0.97599623,0.15342615
1,20260606,1,test,majority_class,class_prior,,198,0.56565657,0.33333333,0.24086022,0.00000000,0.56565657,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.72258065,0.00000000,0.58158350,0.97599623,0.00191100
1,20260606,1,test,stratified_random,class_prior,,198,0.41919192,0.33263305,0.33258107,0.16666667,0.56637168,0.26530612,0.17647059,0.57142857,0.25000000,0.17142857,0.56888889,0.25742574,0.58158350,0.97599623,0.14837565
