repeat,seed,fold,feature_set,selected_l2,validation_macro_f1,validation_balanced_accuracy,validation_log_loss
1,20260606,0,age_sex,0.00100000,0.51735174,0.58624219,0.92863890
1,20260606,0,image_geometry_file,0.00100000,0.30368880,0.35137901,1.10430436
1,20260606,0,admin_index,1.00000000,0.17021277,0.26809955,1.09822774
1,20260606,0,age_sex_geometry,0.01000000,0.51680939,0.58124596,0.93705329
1,20260606,0,downstream_status,0.01000000,0.38685799,0.50653146,1.02907367
1,20260606,0,downstream_plus_age_sex,0.10000000,0.52735521,0.60039593,0.94295154
1,20260606,1,age_sex,0.01000000,0.46828932,0.52463101,1.01654750
1,20260606,1,image_geometry_file,0.01000000,0.31905382,0.33590552,1.10642135
1,20260606,1,admin_index,0.01000000,0.16780332,0.23437837,1.11010422
1,20260606,1,age_sex_geometry,0.00100000,0.48202525,0.54134346,1.02824629
1,20260606,1,downstream_status,0.01000000,0.33542575,0.45624596,1.11059626
1,20260606,1,downstream_plus_age_sex,0.00100000,0.49393722,0.55862153,1.04611604
1,20260606,2,age_sex,0.00100000,0.46799414,0.51190476,0.98181356
1,20260606,2,image_geometry_file,0.00100000,0.34689748,0.38194444,1.07982113
1,20260606,2,admin_index,0.00100000,0.22010783,0.31880252,1.09342147
1,20260606,2,age_sex_geometry,1.00000000,0.47304047,0.53536415,1.04755168
1,20260606,2,downstream_status,0.10000000,0.34180223,0.46743697,1.06954202
1,20260606,2,downstream_plus_age_sex,0.01000000,0.47160982,0.52439309,0.98641767
1,20260606,3,age_sex,0.00100000,0.50707547,0.55497199,0.97513052
1,20260606,3,image_geometry_file,0.00100000,0.26870531,0.33234127,1.09368263
1,20260606,3,admin_index,0.00100000,0.18978001,0.30392157,1.09494926
1,20260606,3,age_sex_geometry,0.01000000,0.49411765,0.54545985,0.97046319
1,20260606,3,downstream_status,0.00100000,0.32450491,0.43919234,1.07324221
1,20260606,3,downstream_plus_age_sex,0.01000000,0.52066168,0.57282913,0.96599053
1,20260606,4,age_sex,0.00100000,0.47387755,0.53050259,0.93237709
1,20260606,4,image_geometry_file,0.00100000,0.31806946,0.38316096,1.09735800
1,20260606,4,admin_index,0.00100000,0.16896086,0.26772247,1.09496907
1,20260606,4,age_sex_geometry,1.00000000,0.45600371,0.52611237,1.04742312
1,20260606,4,downstream_status,0.01000000,0.39810451,0.52324391,1.02100406
1,20260606,4,downstream_plus_age_sex,0.00100000,0.53804714,0.60341252,0.90121203
2,20260607,0,age_sex,0.00100000,0.53290300,0.59658479,0.93335636
2,20260607,0,image_geometry_file,0.00100000,0.34694099,0.38819759,1.08651327
2,20260607,0,admin_index,0.10000000,0.19244004,0.28351918,1.09805320
2,20260607,0,age_sex_geometry,1.00000000,0.50480647,0.55870233,1.04792277
2,20260607,0,downstream_status,0.00100000,0.40884579,0.52572183,1.03398669
2,20260607,0,downstream_plus_age_sex,0.00100000,0.53319713,0.59997845,0.90089715
2,20260607,1,age_sex,0.00100000,0.48580329,0.54382137,0.99804675
2,20260607,1,image_geometry_file,0.00100000,0.38284809,0.38162573,1.10777530
2,20260607,1,admin_index,1.00000000,0.18170659,0.29068358,1.09808880
2,20260607,1,age_sex_geometry,0.01000000,0.41226799,0.46491866,1.03296389
2,20260607,1,downstream_status,0.00100000,0.34985146,0.48276234,1.04157602
2,20260607,1,downstream_plus_age_sex,0.01000000,0.51618788,0.56808877,0.97259118
2,20260607,2,age_sex,1.00000000,0.50289855,0.57901494,1.05166087
2,20260607,2,image_geometry_file,0.00100000,0.32411952,0.36840570,1.09334605
2,20260607,2,admin_index,0.00100000,0.21603345,0.30870682,1.09579509
2,20260607,2,age_sex_geometry,0.00100000,0.47331515,0.52375117,0.99261870
2,20260607,2,downstream_status,0.00100000,0.38981123,0.51289683,1.10005807
2,20260607,2,downstream_plus_age_sex,0.00100000,0.53377497,0.59984827,1.04382525
2,20260607,3,age_sex,0.10000000,0.48359970,0.54843604,0.95566771
2,20260607,3,image_geometry_file,1.00000000,0.25493846,0.29096639,1.10021466
2,20260607,3,admin_index,0.10000000,0.15744097,0.24480626,1.09727035
2,20260607,3,age_sex_geometry,0.00100000,0.49965965,0.56144958,0.91744754
2,20260607,3,downstream_status,0.00100000,0.33387016,0.45909197,1.04208148
2,20260607,3,downstream_plus_age_sex,0.00100000,0.52596622,0.58438375,0.90986180
2,20260607,4,age_sex,0.00100000,0.43663373,0.49120610,0.97958863
2,20260607,4,image_geometry_file,1.00000000,0.30820613,0.35913596,1.09669080
2,20260607,4,admin_index,0.01000000,0.18682985,0.27706852,1.10061199
2,20260607,4,age_sex_geometry,0.01000000,0.44279903,0.49078862,0.98673333
2,20260607,4,downstream_status,0.00100000,0.35998411,0.45990896,1.07142904
2,20260607,4,downstream_plus_age_sex,0.00100000,0.47664244,0.53759966,0.95990706
3,20260608,0,age_sex,0.10000000,0.48763418,0.54973335,1.00896264
3,20260608,0,image_geometry_file,0.00100000,0.33830516,0.34911657,1.10037495
3,20260608,0,admin_index,0.01000000,0.17833800,0.28054299,1.09832004
