model_id,model_label,kind,repeat,seed,n,accuracy,balanced_accuracy,macro_f1,ordinal_mae,two_grade_error_rate,quadratic_weighted_kappa,ece_10,ovr_auroc,severe_balanced_accuracy,severe_sensitivity,severe_specificity,severe_f1,severe_auroc,severe_ece_10,severe_tp,severe_fp,severe_tn,severe_fn
age_sex,Age/sex guardrail,metadata_guardrail,1,20260606,988,0.520242914979757,0.5468218682821966,0.49203132302607605,0.5718623481781376,0.09210526315789473,0.2696328550222661,0.05002191945740743,0.696272268521113,0.5790432197090369,0.26356589147286824,0.8945205479452055,0.337468982630273,0.5843341828607836,0.08731098606161992,68,77,653,190
age_sex,Age/sex guardrail,metadata_guardrail,2,20260607,988,0.5091093117408907,0.5394377130697241,0.4764127942794285,0.5961538461538461,0.10526315789473684,0.2371373322534518,0.05236645694842232,0.6838943847648077,0.5557608580227249,0.42248062015503873,0.689041095890411,0.367003367003367,0.5619464797706276,0.08337471794907514,109,227,503,149
age_sex,Age/sex guardrail,metadata_guardrail,3,20260608,988,0.5161943319838057,0.547172008338219,0.4886798406384876,0.5769230769230769,0.0931174089068826,0.2726101017044479,0.06625523933517716,0.6905012727367718,0.5697037273016885,0.23255813953488372,0.9068493150684932,0.31088082901554404,0.5879685674843368,0.0927486292238459,60,68,662,198
downstream_plus_age_sex,Downstream plus age/sex upper bound,upper_bound,1,20260606,988,0.5435222672064778,0.5707399626517273,0.5110550207947565,0.5374493927125507,0.08097165991902834,0.31985207678298877,0.06182879183336141,0.7189908971675697,0.5928639694170118,0.4186046511627907,0.7671232876712328,0.40298507462686567,0.6365880853775088,0.06002785715215747,108,170,560,150
downstream_plus_age_sex,Downstream plus age/sex upper bound,upper_bound,2,20260607,988,0.5465587044534413,0.5759255640240591,0.5135734208666224,0.5354251012145749,0.08198380566801619,0.32237419354838714,0.04083629476908998,0.7239479725446941,0.5828767123287671,0.5,0.6657534246575343,0.40887480190174325,0.6434772220452374,0.060816221215569434,129,244,486,129
downstream_plus_age_sex,Downstream plus age/sex upper bound,upper_bound,3,20260608,988,0.5293522267206477,0.5575573252556837,0.496250152893077,0.5597165991902834,0.08906882591093117,0.28845447109172173,0.030663034017264074,0.7151367868732112,0.5762928745885101,0.44573643410852715,0.7068493150684931,0.39182282793867124,0.6238239354359137,0.06927246242487273,115,214,516,143
image_efficientnet_b0,Whole-image EfficientNet-B0,image_only,1,20260606,988,0.5445344129554656,0.5137887325472824,0.5073221869836962,0.49291497975708504,0.03744939271255061,0.3585425356102935,0.08535187054507665,0.6798645785291256,0.6243442709992566,0.624031007751938,0.6246575342465753,0.46464646464646464,0.6893649782308591,0.04291091303234222,161,274,456,97
image_efficientnet_b0,Whole-image EfficientNet-B0,image_only,2,20260607,988,0.5131578947368421,0.49798357327427095,0.4842953573733962,0.5293522267206477,0.04251012145748988,0.33348596323545754,0.035499431156624156,0.6812344299403126,0.6309281087395137,0.6782945736434108,0.5835616438356165,0.47489823609226595,0.6824731867898481,0.06166554647544285,175,304,426,83
image_efficientnet_b0,Whole-image EfficientNet-B0,image_only,3,20260608,988,0.5242914979757085,0.49918083512474754,0.4901102107743415,0.5172064777327935,0.04149797570850203,0.33648170546638945,0.06955548574465471,0.6695006006610195,0.6288202187533185,0.5891472868217055,0.6684931506849315,0.4662576687116564,0.6805139641074652,0.0648380775329344,152,242,488,106
image_plus_age_sex,Image plus age/sex,metadata_sensitivity,1,20260606,988,0.5526315789473685,0.525406325320826,0.5181022936547799,0.4817813765182186,0.03441295546558704,0.3790700468581041,0.0865215867609071,0.6890129599634162,0.6457098863757035,0.5968992248062015,0.6945205479452055,0.48503937007874015,0.6918179887437613,0.03601258221172688,154,223,507,104
