model_id,repeat,seed,fold,subgroup_type,subgroup,n,accuracy,balanced_accuracy,macro_f1
age_sex,1,20260606,0,age_band,age_35_50,59,0.3559322033898305,0.35042735042735046,0.3134920634920635
age_sex,1,20260606,0,age_band,age_<35,82,0.47560975609756095,0.418452935694315,0.33793103448275863
age_sex,1,20260606,0,age_band,age_>50,57,0.7543859649122807,0.7361111111111112,0.7361111111111112
age_sex,1,20260606,1,age_band,age_35_50,59,0.5084745762711864,0.5386327503974563,0.4796747967479675
age_sex,1,20260606,1,age_band,age_<35,86,0.47674418604651164,0.44110275689223055,0.35789473684210527
age_sex,1,20260606,1,age_band,age_>50,53,0.6792452830188679,0.4696696696696696,0.4405594405594406
age_sex,1,20260606,2,age_band,age_35_50,61,0.4426229508196721,0.37083333333333335,0.3517283749841889
age_sex,1,20260606,2,age_band,age_<35,86,0.5,0.47008547008547014,0.3784037558685445
age_sex,1,20260606,2,age_band,age_>50,51,0.6470588235294118,0.4787878787878788,0.43846153846153846
age_sex,1,20260606,3,age_band,age_35_50,66,0.4696969696969697,0.5104273504273503,0.37118553960659223
age_sex,1,20260606,3,age_band,age_<35,87,0.4942528735632184,0.4587559161595673,0.38283710703036783
age_sex,1,20260606,3,age_band,age_>50,44,0.5909090909090909,0.4047619047619048,0.3880312559557842
age_sex,1,20260606,4,age_band,age_35_50,66,0.4090909090909091,0.2863636363636364,0.29156010230179025
age_sex,1,20260606,4,age_band,age_<35,86,0.4883720930232558,0.4451985922574158,0.41090710056227303
age_sex,1,20260606,4,age_band,age_>50,45,0.7111111111111111,0.44170771756978655,0.4375
age_sex,2,20260607,0,age_band,age_35_50,66,0.3484848484848485,0.3383116883116883,0.30710835058661146
age_sex,2,20260607,0,age_band,age_<35,87,0.47126436781609193,0.4645045045045045,0.3694749694749695
age_sex,2,20260607,0,age_band,age_>50,45,0.6666666666666666,0.4587813620071685,0.4306513409961686
age_sex,2,20260607,1,age_band,age_35_50,58,0.5,0.38611111111111107,0.34457671957671954
age_sex,2,20260607,1,age_band,age_<35,90,0.4666666666666667,0.4307692307692308,0.34259259259259256
age_sex,2,20260607,1,age_band,age_>50,50,0.86,0.5953282828282829,0.5713455390874745
age_sex,2,20260607,2,age_band,age_35_50,66,0.3787878787878788,0.3933185677371724,0.2996348336905612
age_sex,2,20260607,2,age_band,age_<35,88,0.4772727272727273,0.41944444444444445,0.35185185185185186
age_sex,2,20260607,2,age_band,age_>50,44,0.5227272727272727,0.3775419982316534,0.3481481481481481
age_sex,2,20260607,3,age_band,age_35_50,62,0.4032258064516129,0.501984126984127,0.36173129651390523
age_sex,2,20260607,3,age_band,age_<35,79,0.5316455696202531,0.47336860670194003,0.39348370927318294
age_sex,2,20260607,3,age_band,age_>50,56,0.6607142857142857,0.4243386243386243,0.4160021265284423
age_sex,2,20260607,4,age_band,age_35_50,59,0.423728813559322,0.44773519163763065,0.3830310610798416
age_sex,2,20260607,4,age_band,age_<35,83,0.4939759036144578,0.4277777777777778,0.360524039055741
age_sex,2,20260607,4,age_band,age_>50,55,0.6363636363636364,0.6499999999999999,0.6303763440860215
age_sex,3,20260608,0,age_band,age_35_50,71,0.4507042253521127,0.4939814814814815,0.4003367003367004
age_sex,3,20260608,0,age_band,age_<35,84,0.5119047619047619,0.48238783833889504,0.39206349206349206
age_sex,3,20260608,0,age_band,age_>50,43,0.6976744186046512,0.7333333333333334,0.661826981246219
age_sex,3,20260608,1,age_band,age_35_50,53,0.4716981132075472,0.6096866096866097,0.43240284619594965
age_sex,3,20260608,1,age_band,age_<35,93,0.40860215053763443,0.40022968705139245,0.30959075288972193
age_sex,3,20260608,1,age_band,age_>50,52,0.6346153846153846,0.4728535353535353,0.4308878256246677
age_sex,3,20260608,2,age_band,age_35_50,64,0.46875,0.5816326530612245,0.3240973502411411
age_sex,3,20260608,2,age_band,age_<35,91,0.5384615384615384,0.4696969696969697,0.3990404672507301
age_sex,3,20260608,2,age_band,age_>50,43,0.6976744186046512,0.6544444444444445,0.6490897677338355
age_sex,3,20260608,3,age_band,age_35_50,61,0.4426229508196721,0.30701754385964913,0.3158338604258908
age_sex,3,20260608,3,age_band,age_<35,78,0.4358974358974359,0.3909722222222222,0.3659522108438517
age_sex,3,20260608,3,age_band,age_>50,58,0.8103448275862069,0.5146520146520147,0.5087878787878788
