accuracy,balanced_accuracy,ece_10,macro_f1,model_id,model_label,n,ordinal_mae,positive_severe_n,quadratic_weighted_kappa,severe_auroc,severe_balanced_accuracy,severe_sensitivity,severe_specificity,subgroup,subgroup_type
0.42443729903536975,0.41854791299235744,0.10835159393804014,0.3538792338537819,age_sex,Age/sex guardrail,311,0.6688102893890675,81,-0.01666461840973321,0.5026033279656468,0.5131239935587761,0.07407407407407407,0.9521739130434783,age_35_50,age_band
0.477751756440281,0.4342471943963245,0.06638846153933373,0.3561602418745276,age_sex,Age/sex guardrail,427,0.6768149882903981,98,0.11810185389592853,0.5749953476831462,0.5,0.0,1.0,age_<35,age_band
0.684,0.4671119049468044,0.1659841840289376,0.44969888614520964,age_sex,Age/sex guardrail,250,0.324,79,0.351461881218336,0.7107113776001185,0.6862832185950107,0.7468354430379747,0.6257309941520468,age_>50,age_band
0.572347266881029,0.5169312169312169,0.05524618135020146,0.47198641765704585,image_efficientnet_b0,Whole-image EfficientNet-B0,311,0.43729903536977494,81,0.35348714645429524,0.7437466451959206,0.6518518518518519,0.7037037037037037,0.6,age_35_50,age_band
0.4964871194379391,0.48226768300149764,0.04811987361471165,0.48642892044953895,image_efficientnet_b0,Whole-image EfficientNet-B0,427,0.5667447306791569,98,0.3468991246654196,0.6806029402642516,0.6381893182805037,0.5408163265306123,0.7355623100303952,age_<35,age_band
0.58,0.3661049416271906,0.03223685481010964,0.3639977941082169,image_efficientnet_b0,Whole-image EfficientNet-B0,250,0.428,79,0.13932138204826017,0.6560811310977867,0.6000444148345547,0.7088607594936709,0.49122807017543857,age_>50,age_band
0.639871382636656,0.4974426807760141,0.10355602799009327,0.4877767080142701,image_tile_efficientnet_b0_meanmax,Tile EfficientNet-B0,311,0.3762057877813505,81,0.33093354564396193,0.7556629092860977,0.6771604938271605,0.654320987654321,0.7,age_35_50,age_band
0.5175644028103045,0.5002326154533516,0.03892296979676979,0.5009787390739772,image_tile_efficientnet_b0_meanmax,Tile EfficientNet-B0,427,0.5480093676814989,98,0.37227528032929824,0.6738725885490975,0.609965262700825,0.4387755102040816,0.7811550151975684,age_<35,age_band
0.644,0.4140457145815537,0.06257971474582415,0.40984933978564553,image_tile_efficientnet_b0_meanmax,Tile EfficientNet-B0,250,0.356,79,0.28128432069255116,0.7007180398253017,0.605929380413058,0.6329113924050633,0.5789473684210527,age_>50,age_band
0.40159045725646125,0.5092937239131902,0.10003976274549985,0.37037086675175007,age_sex,Age/sex guardrail,503,0.7216699801192843,138,0.3467305994767679,0.6810998610283899,0.6368771093905102,0.47101449275362317,0.8027397260273973,gender_0,gender
