task,model_id,kind,deployment_role,repeat,seed,fold,threshold,n,positive_n,accuracy,balanced_accuracy,f1,precision,sensitivity,specificity,log_loss,ece_10,auroc,average_precision,tp,fp,tn,fn
severe_level_3_vs_1_2,age_sex,metadata_guardrail,metadata guardrail,1,20260606,0,0.4103011258969888,198,52,0.7171717171717171,0.5977344573234984,0.391304347826087,0.45,0.34615384615384615,0.8493150684931506,0.5705193630168679,0.09010304927293525,0.6334299262381454,0.42214362452097276,18,22,124,34
any_brar_level_2_3_vs_1,age_sex,metadata_guardrail,metadata guardrail,1,20260606,0,0.62170789,198,164,0.7828282828282829,0.7756456241032998,0.8571428571428571,0.9416058394160584,0.7865853658536586,0.7647058823529411,0.3620855840369925,0.10828457160026696,0.8765243902439025,0.9714879820073741,129,8,26,35
severe_level_3_vs_1_2,age_sex,metadata_guardrail,metadata guardrail,1,20260606,1,0.47115224,198,52,0.7222222222222222,0.5702054794520548,0.32098765432098764,0.4482758620689655,0.25,0.8904109589041096,0.5972862202821541,0.09515106443898996,0.563026870389884,0.3662006838806037,13,16,130,39
any_brar_level_2_3_vs_1,age_sex,metadata_guardrail,metadata guardrail,1,20260606,1,0.56822895,198,164,0.8232323232323232,0.8000358680057389,0.8867313915857605,0.9448275862068966,0.8353658536585366,0.7647058823529411,0.3630063390091453,0.07323278282517433,0.8808285509325682,0.9716595478177837,137,8,26,27
severe_level_3_vs_1_2,age_sex,metadata_guardrail,metadata guardrail,1,20260606,2,0.5,198,52,0.7373737373737373,0.5742887249736565,0.3157894736842105,0.5,0.23076923076923078,0.9178082191780822,0.5777884130249928,0.10744814826943266,0.5885800842992623,0.4156471168868594,12,12,134,40
any_brar_level_2_3_vs_1,age_sex,metadata_guardrail,metadata guardrail,1,20260606,2,0.7705898722941014,198,164,0.6161616161616161,0.7100071736011477,0.7099236641221374,0.9489795918367347,0.5670731707317073,0.8529411764705882,0.4553397581182982,0.10079104638031092,0.7963593974175036,0.9149294150213587,93,5,29,71
severe_level_3_vs_1_2,age_sex,metadata_guardrail,metadata guardrail,1,20260606,3,0.45621426,197,51,0.7360406091370558,0.5731265108783239,0.3157894736842105,0.48,0.23529411764705882,0.910958904109589,0.608483523885266,0.12482525182501679,0.5398200376040828,0.33765999849638095,12,13,133,39
any_brar_level_2_3_vs_1,age_sex,metadata_guardrail,metadata guardrail,1,20260606,3,0.6217537900000001,197,163,0.751269035532995,0.721670876939733,0.8361204013377926,0.9191176470588235,0.7668711656441718,0.6764705882352942,0.41995481564764847,0.0883262913946748,0.8084626488632263,0.9409851829262944,125,11,23,38
severe_level_3_vs_1_2,age_sex,metadata_guardrail,metadata guardrail,1,20260606,4,0.42652123,197,51,0.7360406091370558,0.5795057749127048,0.3333333333333333,0.48148148148148145,0.2549019607843137,0.9041095890410958,0.5712520713112156,0.09933079192120463,0.6097233413913511,0.36039567185636184,13,14,132,38
any_brar_level_2_3_vs_1,age_sex,metadata_guardrail,metadata guardrail,1,20260606,4,0.68893549,197,163,0.7106598984771574,0.7436845904005773,0.7985865724381626,0.9416666666666667,0.6932515337423313,0.7941176470588235,0.4049561057309731,0.10164728446947302,0.8242511728617828,0.9519192805181287,113,7,27,50
severe_level_3_vs_1_2,age_sex,metadata_guardrail,metadata guardrail,2,20260607,0,0.4654863246548633,198,52,0.7373737373737373,0.5495258166491044,0.23529411764705882,0.5,0.15384615384615385,0.9452054794520548,0.618497018602668,0.1460797352813671,0.4895943097997893,0.3008533327868852,8,8,138,44
any_brar_level_2_3_vs_1,age_sex,metadata_guardrail,metadata guardrail,2,20260607,0,0.5684834400000001,198,164,0.7878787878787878,0.7087517934002869,0.8662420382165605,0.9066666666666666,0.8292682926829268,0.5882352941176471,0.4196363800217875,0.06911469936054322,0.8032639885222381,0.9431077539742942,136,14,20,28
severe_level_3_vs_1_2,age_sex,metadata_guardrail,metadata guardrail,2,20260607,1,0.27664744,198,52,0.41414141414141414,0.559404636459431,0.4368932038834951,0.2922077922077922,0.8653846153846154,0.2534246575342466,0.5734886496728926,0.08567214046371821,0.6153846153846154,0.4391655643072525,45,109,37,7
any_brar_level_2_3_vs_1,age_sex,metadata_guardrail,metadata guardrail,2,20260607,1,0.520621295206213,198,164,0.8585858585858586,0.7980631276901005,0.9125,0.9358974358974359,0.8902439024390244,0.7058823529411765,0.3688029416840257,0.09119768214115825,0.8819045911047344,0.9674092572159014,146,10,24,18
severe_level_3_vs_1_2,age_sex,metadata_guardrail,metadata guardrail,2,20260607,2,0.33687481,198,52,0.5656565656565656,0.5445205479452055,0.37681159420289856,0.3023255813953488,0.5,0.589041095890411,0.585611645341555,0.07460632671992956,0.571786090621707,0.29808671460976477,26,60,86,26
any_brar_level_2_3_vs_1,age_sex,metadata_guardrail,metadata guardrail,2,20260607,2,0.66094111,198,164,0.6666666666666666,0.7055236728837877,0.762589928057554,0.9298245614035088,0.6463414634146342,0.7647058823529411,0.4873629541826736,0.1815396605607962,0.8003945480631276,0.9331515904228123,106,8,26,58
severe_level_3_vs_1_2,age_sex,metadata_guardrail,metadata guardrail,2,20260607,3,0.38070223,197,51,0.649746192893401,0.5786999731399409,0.3893805309734513,0.3548387096774194,0.43137254901960786,0.726027397260274,0.5809062382319642,0.11376039244391543,0.5899811979586356,0.3651193149069689,22,40,106,29
any_brar_level_2_3_vs_1,age_sex,metadata_guardrail,metadata guardrail,2,20260607,3,0.69065257,197,163,0.6751269035532995,0.757127390833634,0.762962962962963,0.9626168224299065,0.6319018404907976,0.8823529411764706,0.4303857457933493,0.14225564289758255,0.8136051966798991,0.9280163773519441,103,4,30,60
severe_level_3_vs_1_2,age_sex,metadata_guardrail,metadata guardrail,2,20260607,4,0.49426948,197,51,0.7309644670050761,0.5441847972065539,0.2318840579710145,0.4444444444444444,0.1568627450980392,0.9315068493150684,0.5706276195555741,0.08524639764162047,0.6293311845286059,0.4129107461694105,8,10,136,43
any_brar_level_2_3_vs_1,age_sex,metadata_guardrail,metadata guardrail,2,20260607,4,0.62378518,197,163,0.8020304568527918,0.7988993143269578,0.8704318936877077,0.9492753623188406,0.803680981595092,0.7941176470588235,0.3414996079775171,0.10683947139882063,0.8983219054492964,0.9766851597802543,131,7,27,32
severe_level_3_vs_1_2,age_sex,metadata_guardrail,metadata guardrail,3,20260608,0,0.44335072,198,52,0.7171717171717171,0.5234457323498419,0.17647058823529413,0.375,0.11538461538461539,0.9315068493150684,0.5996843992811959,0.08818184435069058,0.506059009483667,0.2946505593236458,6,10,136,46
any_brar_level_2_3_vs_1,age_sex,metadata_guardrail,metadata guardrail,3,20260608,0,0.6266042000000001,198,164,0.797979797979798,0.8081061692969871,0.8666666666666667,0.9558823529411765,0.7926829268292683,0.8235294117647058,0.4029753228111681,0.14741901336418045,0.8815459110473458,0.972149058635793,130,6,28,34
severe_level_3_vs_1_2,age_sex,metadata_guardrail,metadata guardrail,3,20260608,1,0.39224364,198,52,0.696969696969697,0.553082191780822,0.3023255813953488,0.38235294117647056,0.25,0.8561643835616438,0.5880978591119493,0.08455403420356182,0.5375395152792413,0.3246460724337015,13,21,125,39
any_brar_level_2_3_vs_1,age_sex,metadata_guardrail,metadata guardrail,3,20260608,1,0.64626649,198,164,0.7070707070707071,0.7415710186513629,0.795774647887324,0.9416666666666667,0.6890243902439024,0.7941176470588235,0.44602700194884226,0.1530667414671861,0.8091822094691534,0.9369894330490303,113,7,27,51
severe_level_3_vs_1_2,age_sex,metadata_guardrail,metadata guardrail,3,20260608,2,0.43823061,198,52,0.7373737373737373,0.5619072708113804,0.2777777777777778,0.5,0.19230769230769232,0.9315068493150684,0.5773152278108723,0.08663114246285214,0.6034641728134879,0.35359297933262374,10,10,136,42
any_brar_level_2_3_vs_1,age_sex,metadata_guardrail,metadata guardrail,3,20260608,2,0.78660882,198,164,0.5808080808080808,0.7469512195121951,0.6612244897959184,1.0,0.49390243902439024,1.0,0.35723040861448513,0.13608806204587273,0.9094332855093256,0.9792524136690328,81,0,34,83
severe_level_3_vs_1_2,age_sex,metadata_guardrail,metadata guardrail,3,20260608,3,0.47044324,197,51,0.7715736040609137,0.6098576416868118,0.3835616438356164,0.6363636363636364,0.27450980392156865,0.9452054794520548,0.5723655567165232,0.13852214007696198,0.6655922643029816,0.47997020985555994,14,8,138,37
any_brar_level_2_3_vs_1,age_sex,metadata_guardrail,metadata guardrail,3,20260608,3,0.7843389778433898,197,163,0.6548223350253807,0.7332190544929629,0.746268656716418,0.9523809523809523,0.6134969325153374,0.8529411764705882,0.41895348301028507,0.0849720998830945,0.7956513893901119,0.9413198110140003,100,5,29,63
severe_level_3_vs_1_2,age_sex,metadata_guardrail,metadata guardrail,3,20260608,4,0.46577854,197,51,0.7309644670050761,0.6015981735159818,0.39080459770114945,0.4722222222222222,0.3333333333333333,0.8698630136986302,0.5689320407374778,0.11543809422772264,0.6385307547676605,0.44404515845185955,17,19,127,34
any_brar_level_2_3_vs_1,age_sex,metadata_guardrail,metadata guardrail,3,20260608,4,0.63850658,197,163,0.7258883248730964,0.7063334536268495,0.8163265306122449,0.916030534351145,0.7361963190184049,0.6764705882352942,0.4223656689387269,0.10262575820328175,0.8009743774810537,0.9215612603435934,120,11,23,43
severe_level_3_vs_1_2,downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,1,20260606,0,0.3513432,198,52,0.6515151515151515,0.6151211801896733,0.448,0.3835616438356164,0.5384615384615384,0.6917808219178082,0.5511841551951969,0.10722035975330511,0.6979715489989462,0.5138500929612457,28,45,101,24
any_brar_level_2_3_vs_1,downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,1,20260606,0,0.62425646,198,164,0.7878787878787878,0.790351506456241,0.86,0.9485294117647058,0.7865853658536586,0.7941176470588235,0.39289354021984413,0.15247017435998964,0.882980631276901,0.9726734280512641,129,7,27,35
severe_level_3_vs_1_2,downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,1,20260606,1,0.43476042,198,52,0.7272727272727273,0.6231559536354057,0.4375,0.4772727272727273,0.40384615384615385,0.8424657534246576,0.5584622801870457,0.08582087459157307,0.6631322444678609,0.47232425296755914,21,23,123,31
