model_id,kind,deployment_role,repeat,seed,fold,n,accuracy,balanced_accuracy,macro_f1,ordinal_mae,adjacent_accuracy,two_grade_error_rate,quadratic_weighted_kappa,severe_auroc_from_prob_3
age_sex,metadata_guardrail,metadata guardrail,1,20260606,0,198,0.5202020202020202,0.5663650075414782,0.4988811651770937,0.5656565656565656,0.9141414141414141,0.08585858585858586,0.3059636992221262,0.6334299262381454
age_sex,metadata_guardrail,metadata guardrail,1,20260606,1,198,0.5404040404040404,0.5851379013143719,0.5169762137504073,0.5656565656565656,0.8939393939393939,0.10606060606060606,0.28402366863905326,0.563026870389884
age_sex,metadata_guardrail,metadata guardrail,1,20260606,2,198,0.5202020202020202,0.5424881491057962,0.49625004791396293,0.5606060606060606,0.9191919191919192,0.08080808080808081,0.2885572139303483,0.5885800842992623
age_sex,metadata_guardrail,metadata guardrail,1,20260606,3,197,0.5076142131979695,0.5077614379084968,0.4621786492374727,0.5888324873096447,0.9035532994923858,0.09644670050761421,0.20887660373422345,0.5398200376040828
age_sex,metadata_guardrail,metadata guardrail,1,20260606,4,197,0.5126903553299492,0.5318043884220355,0.4825352617315171,0.5786802030456852,0.9086294416243654,0.09137055837563451,0.2560422960725076,0.6097233413913511
age_sex,metadata_guardrail,metadata guardrail,2,20260607,0,198,0.47474747474747475,0.4882299073475544,0.432753503334725,0.6666666666666666,0.8585858585858586,0.1414141414141414,0.10086956521739132,0.4895943097997893
age_sex,metadata_guardrail,metadata guardrail,2,20260607,1,198,0.5757575757575758,0.5991031027795733,0.5373606777104186,0.5303030303030303,0.8939393939393939,0.10606060606060606,0.2904782799473453,0.6153846153846154
age_sex,metadata_guardrail,metadata guardrail,2,20260607,2,198,0.45454545454545453,0.4900210084033613,0.4238912528426874,0.6666666666666666,0.8787878787878788,0.12121212121212122,0.17431192660550454,0.571786090621707
age_sex,metadata_guardrail,metadata guardrail,2,20260607,3,197,0.5279187817258884,0.5573646125116714,0.4894670492780067,0.5634517766497462,0.9086294416243654,0.09137055837563451,0.27907092534043665,0.5899811979586356
age_sex,metadata_guardrail,metadata guardrail,2,20260607,4,197,0.5126903553299492,0.5629668534080299,0.5012872056897214,0.5532994923857868,0.934010152284264,0.06598984771573604,0.3469613259668508,0.6293311845286059
age_sex,metadata_guardrail,metadata guardrail,3,20260608,0,198,0.5303030303030303,0.5722769877181643,0.503900370616129,0.5555555555555556,0.9141414141414141,0.08585858585858586,0.30220264317180623,0.506059009483667
age_sex,metadata_guardrail,metadata guardrail,3,20260608,1,198,0.48484848484848486,0.5318762120232708,0.4637044646567247,0.6414141414141414,0.8737373737373737,0.12626262626262627,0.21269712899312576,0.5375395152792413
age_sex,metadata_guardrail,metadata guardrail,3,20260608,2,198,0.5505050505050505,0.5704050851109674,0.493399662143172,0.5353535353535354,0.9141414141414141,0.08585858585858586,0.2857142857142857,0.6034641728134879
age_sex,metadata_guardrail,metadata guardrail,3,20260608,3,197,0.5482233502538071,0.5532212885154061,0.5166651445394133,0.5279187817258884,0.9238578680203046,0.07614213197969544,0.31380296334806346,0.6655922643029816
age_sex,metadata_guardrail,metadata guardrail,3,20260608,4,197,0.467005076142132,0.5091619981325864,0.45557126837594825,0.6243654822335025,0.9086294416243654,0.09137055837563451,0.2583287950181139,0.6385307547676605
downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,1,20260606,0,198,0.5252525252525253,0.5727348631760396,0.5000575313717711,0.5454545454545454,0.9292929292929293,0.0707070707070707,0.35350043215211757,0.6979715489989462
downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,1,20260606,1,198,0.5808080808080808,0.6192496229260935,0.559809253926901,0.4898989898989899,0.9292929292929293,0.0707070707070707,0.38970261873058143,0.6631322444678609
downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,1,20260606,2,198,0.5353535353535354,0.5513359189829777,0.49368865791234423,0.5606060606060606,0.9040404040404041,0.09595959595959595,0.26403233048944763,0.6438356164383562
downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,1,20260606,3,197,0.5279187817258884,0.5368814192343604,0.48434412524699805,0.5583756345177665,0.9137055837563451,0.08629441624365482,0.265458311755567,0.5519742143432715
downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,1,20260606,4,197,0.5482233502538071,0.5731209150326797,0.5140855794122126,0.5329949238578681,0.9187817258883249,0.08121827411167512,0.32261626885525685,0.6495433789954339
downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,2,20260607,0,198,0.5353535353535354,0.537599655246714,0.4762820512820512,0.5656565656565656,0.898989898989899,0.10101010101010101,0.22592592592592597,0.5414251844046364
downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,2,20260607,1,198,0.5656565656565656,0.5999380521439345,0.5281609195402299,0.5151515151515151,0.9191919191919192,0.08080808080808081,0.34893992932862195,0.6896074815595363
downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,2,20260607,2,198,0.5656565656565656,0.5932719241542771,0.5432470984892692,0.5151515151515151,0.9191919191919192,0.08080808080808081,0.3529411764705882,0.6865779768177028
downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,2,20260607,3,197,0.5279187817258884,0.5713118580765639,0.4979529499383088,0.5634517766497462,0.9086294416243654,0.09137055837563451,0.2996783632802109,0.6585414987912974
