analysis,task,left_model,right_model,metric,paired_folds,mean_delta,sd_delta,left_better_folds
binary,any_brar_level_2_3_vs_1,image_efficientnet_b0,age_sex,balanced_accuracy,15,-0.05492117840702045,0.05489045479447798,4
binary,any_brar_level_2_3_vs_1,image_efficientnet_b0,age_sex,sensitivity,15,-0.054940396029727154,0.17192517726963485,5
binary,any_brar_level_2_3_vs_1,image_efficientnet_b0,age_sex,specificity,15,-0.05490196078431371,0.17430983412645318,4
binary,any_brar_level_2_3_vs_1,image_efficientnet_b0,age_sex,f1,15,-0.04229825975719689,0.10939538219402954,5
binary,any_brar_level_2_3_vs_1,image_efficientnet_b0,age_sex,auroc,15,-0.07080978807803237,0.038256026760380576,0
binary,any_brar_level_2_3_vs_1,image_efficientnet_b0,age_sex,log_loss,15,0.010607372157045443,0.03361623206533397,4
binary,any_brar_level_2_3_vs_1,image_efficientnet_b0,age_sex,ece_10,15,-0.02631190263648415,0.03736730516094828,11
binary,any_brar_level_2_3_vs_1,image_tile_efficientnet_b0_meanmax,image_efficientnet_b0,balanced_accuracy,15,0.03381685458861086,0.06138689084760023,10
binary,any_brar_level_2_3_vs_1,image_tile_efficientnet_b0_meanmax,image_efficientnet_b0,sensitivity,15,0.03626116015761384,0.13664211526506823,10
binary,any_brar_level_2_3_vs_1,image_tile_efficientnet_b0_meanmax,image_efficientnet_b0,specificity,15,0.03137254901960784,0.164310249122555,9
binary,any_brar_level_2_3_vs_1,image_tile_efficientnet_b0_meanmax,image_efficientnet_b0,f1,15,0.02807180529782971,0.08987060760044396,10
binary,any_brar_level_2_3_vs_1,image_tile_efficientnet_b0_meanmax,image_efficientnet_b0,auroc,15,0.041946495791193944,0.046708350474921535,11
binary,any_brar_level_2_3_vs_1,image_tile_efficientnet_b0_meanmax,image_efficientnet_b0,log_loss,15,-0.0359836052655398,0.028124932494006112,14
binary,any_brar_level_2_3_vs_1,image_tile_efficientnet_b0_meanmax,image_efficientnet_b0,ece_10,15,-0.011635222096668507,0.013687609212222803,12
binary,any_brar_level_2_3_vs_1,image_tile_efficientnet_b0_meanmax,age_sex,balanced_accuracy,15,-0.021104323818409588,0.0544655798207155,4
binary,any_brar_level_2_3_vs_1,image_tile_efficientnet_b0_meanmax,age_sex,sensitivity,15,-0.018679235872113325,0.12162678251802733,7
binary,any_brar_level_2_3_vs_1,image_tile_efficientnet_b0_meanmax,age_sex,specificity,15,-0.023529411764705865,0.11931589478520233,6
binary,any_brar_level_2_3_vs_1,image_tile_efficientnet_b0_meanmax,age_sex,f1,15,-0.014226454459367181,0.07944479567152415,7
binary,any_brar_level_2_3_vs_1,image_tile_efficientnet_b0_meanmax,age_sex,auroc,15,-0.028863292286838423,0.041824582950161775,4
binary,any_brar_level_2_3_vs_1,image_tile_efficientnet_b0_meanmax,age_sex,log_loss,15,-0.025376233108494354,0.03534192751342421,11
binary,any_brar_level_2_3_vs_1,image_tile_efficientnet_b0_meanmax,age_sex,ece_10,15,-0.037947124733152655,0.03768000122502228,13
binary,any_brar_level_2_3_vs_1,image_finetuned_efficientnet_b0,image_tile_efficientnet_b0_meanmax,balanced_accuracy,15,-0.02114627984966245,0.0526961120339949,4
binary,any_brar_level_2_3_vs_1,image_finetuned_efficientnet_b0,image_tile_efficientnet_b0_meanmax,sensitivity,15,-0.0050376577385405795,0.14398657959089944,8
binary,any_brar_level_2_3_vs_1,image_finetuned_efficientnet_b0,image_tile_efficientnet_b0_meanmax,specificity,15,-0.03725490196078429,0.15542054101942085,5
binary,any_brar_level_2_3_vs_1,image_finetuned_efficientnet_b0,image_tile_efficientnet_b0_meanmax,f1,15,-0.006210304216222329,0.09268264332847588,6
binary,any_brar_level_2_3_vs_1,image_finetuned_efficientnet_b0,image_tile_efficientnet_b0_meanmax,auroc,15,-0.02704586997151096,0.052741183509645476,6
binary,any_brar_level_2_3_vs_1,image_finetuned_efficientnet_b0,image_tile_efficientnet_b0_meanmax,log_loss,15,0.06033537941924658,0.039515168764224506,0
binary,any_brar_level_2_3_vs_1,image_finetuned_efficientnet_b0,image_tile_efficientnet_b0_meanmax,ece_10,15,0.02371116677267342,0.026222639884198068,3
binary,any_brar_level_2_3_vs_1,image_finetuned_efficientnet_b0,image_efficientnet_b0,balanced_accuracy,15,0.012670574738948415,0.0479807660817983,7
binary,any_brar_level_2_3_vs_1,image_finetuned_efficientnet_b0,image_efficientnet_b0,sensitivity,15,0.03122350241907326,0.13367241255389822,8
binary,any_brar_level_2_3_vs_1,image_finetuned_efficientnet_b0,image_efficientnet_b0,specificity,15,-0.00588235294117645,0.14839727044801448,6
binary,any_brar_level_2_3_vs_1,image_finetuned_efficientnet_b0,image_efficientnet_b0,f1,15,0.021861501081607383,0.08562421952050614,8
binary,any_brar_level_2_3_vs_1,image_finetuned_efficientnet_b0,image_efficientnet_b0,auroc,15,0.014900625819682989,0.0473643323785616,9
binary,any_brar_level_2_3_vs_1,image_finetuned_efficientnet_b0,image_efficientnet_b0,log_loss,15,0.024351774153706787,0.029462945460540714,4
binary,any_brar_level_2_3_vs_1,image_finetuned_efficientnet_b0,image_efficientnet_b0,ece_10,15,0.012075944676004905,0.030654657472009975,7
binary,any_brar_level_2_3_vs_1,image_finetuned_efficientnet_b0,age_sex,balanced_accuracy,15,-0.04225060366807203,0.04157053338668975,2
binary,any_brar_level_2_3_vs_1,image_finetuned_efficientnet_b0,age_sex,sensitivity,15,-0.023716893610653902,0.12162040278993573,5
binary,any_brar_level_2_3_vs_1,image_finetuned_efficientnet_b0,age_sex,specificity,15,-0.06078431372549017,0.13315196100344934,4
binary,any_brar_level_2_3_vs_1,image_finetuned_efficientnet_b0,age_sex,f1,15,-0.02043675867558951,0.07710144904957897,5
binary,any_brar_level_2_3_vs_1,image_finetuned_efficientnet_b0,age_sex,auroc,15,-0.05590916225834938,0.03834968258537646,1
binary,any_brar_level_2_3_vs_1,image_finetuned_efficientnet_b0,age_sex,log_loss,15,0.03495914631075223,0.04270421758049499,3
binary,any_brar_level_2_3_vs_1,image_finetuned_efficientnet_b0,age_sex,ece_10,15,-0.014235957960479247,0.035035696155346165,9
binary,any_brar_level_2_3_vs_1,image_plus_age_sex,age_sex,balanced_accuracy,15,-0.04007153063230381,0.055242628891109966,4
binary,any_brar_level_2_3_vs_1,image_plus_age_sex,age_sex,sensitivity,15,-0.015437178911666427,0.1576458806264937,5
binary,any_brar_level_2_3_vs_1,image_plus_age_sex,age_sex,specificity,15,-0.06470588235294115,0.1572910818484816,5
binary,any_brar_level_2_3_vs_1,image_plus_age_sex,age_sex,f1,15,-0.0137856589894031,0.09867534582242865,5
binary,any_brar_level_2_3_vs_1,image_plus_age_sex,age_sex,auroc,15,-0.060519998063567775,0.03125425802031127,0
binary,any_brar_level_2_3_vs_1,image_plus_age_sex,age_sex,log_loss,15,0.0015769173237529946,0.02896284639235936,6
binary,any_brar_level_2_3_vs_1,image_plus_age_sex,age_sex,ece_10,15,-0.027107494310339007,0.035740400483125385,11
binary,severe_level_3_vs_1_2,image_efficientnet_b0,age_sex,balanced_accuracy,15,0.059921520417088474,0.04525703008463543,14
binary,severe_level_3_vs_1_2,image_efficientnet_b0,age_sex,sensitivity,15,0.32440925087983913,0.2677952104102434,13
binary,severe_level_3_vs_1_2,image_efficientnet_b0,age_sex,specificity,15,-0.2045662100456621,0.25203068604747053,3
binary,severe_level_3_vs_1_2,image_efficientnet_b0,age_sex,f1,15,0.1409708033167303,0.09868886726020716,13
binary,severe_level_3_vs_1_2,image_efficientnet_b0,age_sex,auroc,15,0.10562881808852795,0.05838874444691664,15
binary,severe_level_3_vs_1_2,image_efficientnet_b0,age_sex,log_loss,15,-0.02971054928028872,0.03798555888686043,11
binary,severe_level_3_vs_1_2,image_efficientnet_b0,age_sex,ece_10,15,-0.012833436937243944,0.0427177905237736,10
binary,severe_level_3_vs_1_2,image_tile_efficientnet_b0_meanmax,image_efficientnet_b0,balanced_accuracy,15,0.0028927939282492156,0.05195709470941422,9
binary,severe_level_3_vs_1_2,image_tile_efficientnet_b0_meanmax,image_efficientnet_b0,sensitivity,15,-0.06407742584213173,0.1882609737636396,6
binary,severe_level_3_vs_1_2,image_tile_efficientnet_b0_meanmax,image_efficientnet_b0,specificity,15,0.06986301369863014,0.1896053577133092,9
binary,severe_level_3_vs_1_2,image_tile_efficientnet_b0_meanmax,image_efficientnet_b0,f1,15,-0.00012053850684536534,0.0731811769729269,8
binary,severe_level_3_vs_1_2,image_tile_efficientnet_b0_meanmax,image_efficientnet_b0,auroc,15,0.005455174693692078,0.037576100132269405,8
binary,severe_level_3_vs_1_2,image_tile_efficientnet_b0_meanmax,image_efficientnet_b0,log_loss,15,-0.01629256869745157,0.03484323267694756,9
binary,severe_level_3_vs_1_2,image_tile_efficientnet_b0_meanmax,image_efficientnet_b0,ece_10,15,-0.013431942207687767,0.04171554911150825,10
binary,severe_level_3_vs_1_2,image_tile_efficientnet_b0_meanmax,age_sex,balanced_accuracy,15,0.0628143143453377,0.0376432425314623,15
